Probability	Latency
0.0001	5.5
0.0002	5.6
0.0003	5.6
0.0004	5.6
0.0005	5.7
0.0006	5.8
0.0007	6.1
0.001	6.3
0.0011	6.3
0.0012	6.3
0.0014	6.3
0.0015	6.4
0.0019	6.4
0.0026	6.4
0.0033	6.4
0.0041	6.4
0.0048	6.5
0.0054	6.5
0.006	6.5
0.0063	6.5
0.0071	6.5
0.0078	6.6
0.0085	6.6
0.0088	6.6
0.0092	6.6
0.0094	6.6
0.0097	6.7
0.0103	6.7
0.0107	6.7
0.011	6.7
0.0113	6.7
0.0122	6.8
0.0128	6.8
0.0137	6.8
0.0139	6.8
0.0146	6.8
0.015	6.9
0.0154	6.9
0.0162	6.9
0.0167	6.9
0.0174	6.9
0.0179	7
0.0189	7
0.0195	7
0.02	7
0.021	7
0.0215	7.1
0.0219	7.1
0.0222	7.1
0.0229	7.1
0.0235	7.1
0.0241	7.2
0.0247	7.2
0.0254	7.2
0.0258	7.2
0.0264	7.2
0.027	7.3
0.0275	7.3
0.0283	7.3
0.0291	7.3
0.0299	7.3
0.0308	7.4
0.0313	7.4
0.0323	7.4
0.0332	7.4
0.0339	7.4
0.0347	7.5
0.0357	7.5
0.0362	7.5
0.0373	7.5
0.0377	7.5
0.0382	7.6
0.0384	7.6
0.0386	7.6
0.0392	7.6
0.0397	7.6
0.0402	7.7
0.0408	7.7
0.0412	7.7
0.0417	7.7
0.0423	7.7
0.0426	7.8
0.0428	7.8
0.0432	7.8
0.0434	7.8
0.0436	7.8
0.044	7.9
0.0442	7.9
0.0447	7.9
0.0454	7.9
0.0459	7.9
0.0463	8
0.0465	8
0.0467	8
0.047	8
0.0474	8.1
0.0477	8.1
0.048	8.1
0.0485	8.1
0.0494	8.1
0.0501	8.2
0.0509	8.2
0.0515	8.2
0.0518	8.2
0.0522	8.2
0.0527	8.3
0.0532	8.3
0.0537	8.3
0.054	8.3
0.0547	8.3
0.0551	8.4
0.0555	8.4
0.0561	8.4
0.0564	8.4
0.0567	8.4
0.0569	8.5
0.0571	8.5
0.0575	8.5
0.058	8.5
0.0582	8.5
0.0586	8.6
0.0587	8.6
0.0589	8.6
0.0591	8.6
0.0592	8.6
0.0595	8.7
0.0599	8.7
0.0601	8.7
0.0602	8.8
0.0604	8.8
0.0605	8.8
0.0609	8.8
0.061	8.9
0.0611	8.9
0.0612	8.9
0.0615	9
0.0616	9
0.0618	9
0.0622	9
0.0624	9
0.063	9.1
0.0632	9.1
0.0633	9.1
0.0637	9.2
0.0639	9.2
0.0642	9.2
0.0643	9.2
0.0645	9.3
0.0647	9.3
0.0648	9.3
0.0649	9.3
0.0651	9.4
0.0652	9.4
0.0654	9.4
0.0655	9.4
0.0657	9.5
0.066	9.5
0.0663	9.5
0.0667	9.5
0.0669	9.6
0.0672	9.6
0.0675	9.6
0.0678	9.6
0.0681	9.6
0.0682	9.7
