Probability	Latency
0.0002	4.9
0.0004	4.9
0.0008	4.9
0.0012	4.9
0.0018	5
0.0029	5
0.0036	5
0.0046	5
0.0056	5
0.0066	5.1
0.0075	5.1
0.0079	5.1
0.0088	5.1
0.0094	5.1
0.0102	5.2
0.0115	5.2
0.0125	5.2
0.013	5.2
0.0145	5.2
0.0155	5.3
0.0165	5.3
0.0178	5.3
0.0187	5.3
0.0206	5.3
0.0225	5.4
0.0242	5.4
0.0256	5.4
0.0266	5.4
0.0281	5.4
0.0294	5.5
0.0303	5.5
0.0314	5.5
0.0321	5.5
0.0334	5.5
0.0346	5.6
0.0356	5.6
0.0368	5.6
0.0376	5.6
0.0387	5.6
0.0398	5.7
0.0406	5.7
0.0414	5.7
0.0423	5.7
0.0434	5.7
0.0446	5.8
0.0452	5.8
0.0459	5.8
0.0468	5.8
0.0474	5.8
0.048	5.9
0.0488	5.9
0.0494	5.9
0.0502	5.9
0.0513	5.9
0.052	6
0.0528	6
0.0532	6
0.054	6
0.0542	6
0.0546	6.1
0.055	6.1
0.0553	6.1
0.0558	6.1
0.056	6.1
0.0563	6.2
0.0569	6.2
0.0579	6.2
0.0588	6.2
0.0605	6.2
0.0633	6.3
0.0679	6.3
0.0727	6.3
0.0786	6.3
0.0864	6.3
0.0943	6.4
0.1046	6.4
0.1138	6.4
0.1255	6.4
0.1399	6.4
0.1523	6.5
0.1639	6.5
0.1766	6.5
0.189	6.5
0.2014	6.5
0.214	6.6
0.2256	6.6
0.2369	6.6
0.2489	6.6
0.2595	6.6
0.2728	6.7
0.2867	6.7
0.3013	6.7
0.3149	6.7
0.3281	6.7
0.3381	6.8
0.3507	6.8
0.3641	6.8
0.378	6.8
0.3906	6.8
0.4029	6.9
0.4168	6.9
0.4317	6.9
0.4444	6.9
0.4579	6.9
0.4711	7
0.4853	7
0.4999	7
0.5145	7
0.5291	7
0.5431	7.1
0.5562	7.1
0.5726	7.1
0.5879	7.1
0.6023	7.1
0.6153	7.2
0.6302	7.2
0.6452	7.2
0.6608	7.2
0.6753	7.2
