Probability	Latency
0.0001	8.5
0.0004	9.7
0.0016	9.7
0.005	9.7
0.013	9.8
0.0226	9.8
0.0353	9.8
0.0515	9.8
0.0672	9.8
0.0861	9.9
0.099	9.9
0.1133	9.9
0.1229	9.9
0.1336	9.9
0.1453	10
0.1558	10
0.1673	10
0.1815	10
0.1927	10
0.2031	10.1
0.2159	10.1
0.2294	10.1
0.2433	10.1
0.2552	10.1
0.2691	10.2
0.2807	10.2
0.2932	10.2
0.3047	10.2
0.3158	10.2
0.3265	10.3
0.3365	10.3
0.3477	10.3
0.359	10.3
0.3693	10.3
0.3804	10.4
0.3927	10.4
0.4049	10.4
0.4156	10.4
0.4313	10.4
0.446	10.5
0.4612	10.5
0.477	10.5
0.4931	10.5
0.5077	10.5
0.5225	10.6
0.5362	10.6
0.5501	10.6
0.5653	10.6
0.5795	10.6
0.5949	10.7
0.6079	10.7
0.6243	10.7
0.6384	10.7
0.6521	10.7
0.6661	10.8
0.6801	10.8
0.6949	10.8
0.7092	10.8
0.7232	10.8
0.7361	10.9
0.748	10.9
0.7572	10.9
0.7627	10.9
0.7672	10.9
0.7725	11
0.777	11
0.7811	11
0.7835	11
0.7877	11
0.7919	11.1
0.7957	11.1
0.7995	11.1
0.8035	11.1
0.8075	11.1
0.8111	11.2
0.8145	11.2
0.8185	11.2
0.8228	11.2
0.8267	11.2
0.8315	11.3
0.8362	11.3
0.8392	11.3
0.8424	11.3
0.8466	11.3
0.8509	11.4
0.8545	11.4
0.8588	11.4
0.8623	11.4
0.8661	11.4
0.8696	11.5
0.8738	11.5
0.8772	11.5
0.881	11.5
0.8841	11.5
0.8883	11.6
0.8916	11.6
0.894	11.6
0.8966	11.6
0.8982	11.6
0.9005	11.7
0.9022	11.7
0.9034	11.7
0.9052	11.7
0.9062	11.7
0.9077	11.8
0.9087	11.8
0.9103	11.8
0.9121	11.8
0.9136	11.8
0.9151	11.9
0.9173	11.9
0.9179	11.9
0.92	11.9
0.9217	11.9
0.923	12
0.9236	12
0.9256	12
0.927	12
0.9286	12
0.9294	12.1
0.9305	12.1
0.9317	12.1
0.9329	12.1
0.9336	12.1
0.9346	12.2
0.9356	12.2
0.9364	12.2
0.9374	12.2
0.9383	12.2
0.9387	12.3
0.9393	12.3
0.9401	12.3
0.9408	12.3
0.9418	12.3
0.9433	12.4
0.9447	12.4
0.9457	12.4
0.9464	12.4
0.9481	12.4
0.9497	12.5
0.9502	12.5
0.9526	12.5
0.9535	12.5
0.9544	12.5
0.9548	12.6
0.9551	12.6
0.9555	12.6
0.956	12.6
0.9569	12.6
0.9576	12.7
0.9583	12.7
0.9588	12.7
0.9596	12.7
0.9605	12.7
0.9614	12.8
0.9617	12.8
0.9626	12.8
0.963	12.8
0.9634	12.8
0.9641	12.9
0.9647	12.9
0.9651	12.9
0.9655	12.9
0.966	12.9
0.9667	13
0.9672	13
0.9677	13
0.9684	13
0.9687	13
0.9693	13.1
0.9696	13.1
0.9701	13.1
0.971	13.1
0.9713	13.1
0.9715	13.2
0.9717	13.2
0.9723	13.2
0.9728	13.2
0.9735	13.2
0.9742	13.3
0.9746	13.3
0.9752	13.3
0.9758	13.3
0.9762	13.3
0.9766	13.4
0.9769	13.4
0.9773	13.4
0.9778	13.4
0.9781	13.4
0.9784	13.5
0.9786	13.5
0.979	13.5
0.9794	13.5
0.9797	13.5
0.98	13.6
0.9803	13.6
0.9807	13.6
0.9808	13.6
0.9813	13.6
0.9815	13.7
0.9819	13.7
0.982	13.7
0.9821	13.7
0.9822	13.8
0.9823	13.8
0.9824	13.8
0.9825	13.8
0.9828	13.8
0.9829	13.9
0.9832	13.9
0.9833	13.9
0.9836	13.9
0.9837	14
0.9838	14
0.984	14
0.9842	14.1
0.9844	14.1
0.9847	14.1
0.9849	14.1
0.985	14.2
0.9851	14.2
0.9852	14.2
0.9853	14.2
0.9856	14.3
0.9857	14.3
0.9858	14.3
0.9859	14.4
0.986	14.4
0.9861	14.5
0.9862	14.7
0.9863	14.9
0.9864	15
0.9865	15.2
0.9866	15.7
0.9867	15.9
0.9868	16.3
0.9869	16.5
0.987	17.2
0.9871	17.4
0.9873	17.4
0.9874	17.5
0.9875	17.6
0.9876	17.6
0.9878	17.6
0.9879	17.7
0.988	17.8
0.9881	17.8
0.9882	17.9
0.9883	17.9
0.9884	18
0.9885	18
0.9886	18.1
0.9889	18.1
0.9891	18.1
0.9893	18.1
0.9894	18.2
0.9897	18.2
0.99	18.2
0.9901	18.3
0.9904	18.3
0.9905	18.3
0.9906	18.3
0.9908	18.4
0.9909	18.4
0.9914	18.4
0.9915	18.5
0.9918	18.5
0.9919	18.5
0.992	18.5
0.9921	18.5
0.9922	18.6
0.9923	18.6
0.9924	18.6
0.9925	18.7
0.9927	18.7
0.9929	18.7
0.9931	18.8
0.9932	18.8
0.9933	18.8
0.9934	18.9
0.9935	18.9
0.9936	19
0.9937	19
0.9938	19.1
0.9939	19.2
0.994	19.3
0.9941	19.3
0.9943	19.4
0.9944	19.5
0.9945	19.7
0.9946	19.7
0.9947	19.8
0.9948	19.8
0.9949	21.1
0.995	22
0.9951	22.6
0.9952	26.3
0.9953	27.3
0.9954	28.8
0.9956	30
0.9957	30.9
0.9958	31.1
0.9959	33.8
0.996	34.8
0.9961	36.1
0.9962	37.3
0.9963	37.4
0.9964	37.8
0.9965	41.3
0.9966	42
0.9967	43.8
0.9968	46.4
0.9969	46.7
0.997	47.2
0.9971	51.1
0.9972	51.6
0.9973	55.2
0.9974	56.4
0.9975	57.7
0.9976	58.3
0.9977	59.7
0.9978	60.9
0.9979	61.4
0.998	63.7
0.9981	64.4
0.9982	68.7
0.9984	69.3
0.9985	71.5
0.9986	80
0.9987	81.1
0.9988	86.9
0.9989	93.7
0.999	94.5
