Probability	Latency
0.0001	4.9
0.0002	4.9
0.0003	5.1
0.0004	5.1
0.0005	5.1
0.0006	5.2
0.0007	5.2
0.0008	5.2
0.0009	5.3
0.001	5.3
0.0011	5.4
0.0012	5.5
0.0013	5.5
0.0015	5.6
0.0016	5.6
0.0017	5.6
0.0018	5.6
0.0019	5.7
0.0021	5.7
0.0022	5.8
0.0023	5.9
0.0024	5.9
0.0025	6
0.0026	6.1
0.0027	6.2
0.0028	6.2
0.003	6.4
0.0031	6.4
0.0033	6.4
0.0034	6.5
0.0036	6.6
0.0037	6.6
0.0038	6.7
0.0039	6.8
0.004	6.8
0.0041	6.9
0.0042	6.9
0.0045	6.9
0.0051	6.9
0.0053	6.9
0.0057	7
0.0067	7
0.008	7
0.0097	7
0.0127	7
0.015	7.1
0.0175	7.1
0.0203	7.1
0.0238	7.1
0.0273	7.1
0.0306	7.2
0.0347	7.2
0.0385	7.2
0.0429	7.2
0.0456	7.2
0.05	7.3
0.0547	7.3
0.0589	7.3
0.0626	7.3
0.0663	7.3
0.0706	7.4
0.0747	7.4
0.0791	7.4
0.0828	7.4
0.0868	7.4
0.0908	7.5
0.0951	7.5
0.0994	7.5
0.1031	7.5
0.1071	7.5
0.1111	7.6
0.1157	7.6
0.1197	7.6
0.1239	7.6
0.1278	7.6
0.132	7.7
0.1354	7.7
0.1395	7.7
0.1433	7.7
0.147	7.7
0.1524	7.8
0.1566	7.8
0.1618	7.8
0.1656	7.8
0.1701	7.8
0.1738	7.9
0.1786	7.9
0.1825	7.9
0.1865	7.9
0.1921	7.9
0.1983	8
0.2042	8
0.2098	8
0.2172	8
0.2233	8
0.2316	8.1
0.2363	8.1
0.2429	8.1
0.2493	8.1
0.2569	8.1
0.2649	8.2
0.273	8.2
0.281	8.2
0.2889	8.2
0.2955	8.2
0.3029	8.3
0.3082	8.3
0.3127	8.3
0.3178	8.3
0.3235	8.3
0.3269	8.4
0.3328	8.4
0.3373	8.4
0.3429	8.4
0.3476	8.4
0.3524	8.5
0.3572	8.5
0.3615	8.5
0.3651	8.5
0.3695	8.5
0.3745	8.6
0.3794	8.6
0.3834	8.6
0.389	8.6
0.3932	8.6
0.3985	8.7
0.4031	8.7
0.4077	8.7
0.4126	8.7
0.4186	8.7
0.4243	8.8
0.431	8.8
0.4369	8.8
0.4444	8.8
0.4501	8.8
0.4584	8.9
0.468	8.9
0.4775	8.9
0.488	8.9
0.4991	8.9
0.5086	9
0.5208	9
0.5294	9
0.5388	9
0.5481	9
0.5577	9.1
0.5681	9.1
0.5775	9.1
0.5862	9.1
0.594	9.1
0.6035	9.2
0.6115	9.2
0.6204	9.2
0.6281	9.2
0.6354	9.2
0.6445	9.3
0.6511	9.3
0.6586	9.3
0.6648	9.3
0.6751	9.3
0.6822	9.4
0.6914	9.4
0.6983	9.4
0.7058	9.4
0.7135	9.4
0.7205	9.5
0.727	9.5
0.7361	9.5
0.7435	9.5
0.7508	9.5
0.7569	9.6
0.7658	9.6
0.7722	9.6
0.7796	9.6
0.7861	9.6
0.7925	9.7
0.7983	9.7
0.8056	9.7
0.8119	9.7
0.8187	9.7
0.8254	9.8
0.8324	9.8
0.8401	9.8
0.8477	9.8
0.8529	9.8
0.8606	9.9
0.8679	9.9
0.8746	9.9
0.8819	9.9
0.8888	9.9
0.8937	10
0.8994	10
0.904	10
0.9079	10
0.9108	10
0.9136	10.1
0.9159	10.1
0.9181	10.1
0.9198	10.1
0.9211	10.1
0.9223	10.2
0.9234	10.2
0.924	10.2
0.9256	10.2
0.9267	10.2
0.9281	10.3
0.9287	10.3
0.9298	10.3
0.9311	10.3
0.9325	10.3
0.9333	10.4
0.9345	10.4
0.9353	10.4
0.9367	10.4
0.9372	10.4
0.9375	10.5
0.9387	10.5
0.9391	10.5
0.9393	10.5
0.9396	10.5
0.94	10.6
0.9403	10.6
0.9408	10.6
0.9409	10.6
0.9412	10.6
0.9414	10.7
0.9422	10.7
0.9424	10.7
0.9426	10.8
0.9427	10.8
0.9428	10.8
0.943	10.9
