Probability	Latency
1.00137187947488E-05	7.6
2.00274375894976E-05	7.7
3.00411563842464E-05	7.8
5.0068593973744E-05	7.9
6.00823127684928E-05	7.9
9.01234691527393E-05	7.9
0.0001001372	8
0.0001201646	8
0.0001401921	8
0.0001602195	8
0.0001902607	8
0.0002002744	8.1
0.0002303155	8.1
0.000250343	8.1
0.0002603567	8.2
0.0002703704	8.2
0.0002903978	8.2
0.0003504802	8.2
0.0003604939	8.3
0.0004105625	8.3
0.0004606311	8.3
0.0004906722	8.3
0.0005407408	8.4
0.0005807957	8.4
0.0006709192	8.4
0.0007009603	8.4
0.0007410152	8.4
0.0008211249	8.5
0.0008511661	8.5
0.0008711935	8.5
0.0009312758	8.5
0.0009913582	8.5
0.0011015091	8.6
0.0011716051	8.6
0.0012717423	8.6
0.0014019206	8.6
0.0015521264	8.6
0.0017123459	8.7
0.0019526752	8.7
0.0021329221	8.7
0.0024533611	8.7
0.0027137178	8.7
0.0029440333	8.8
0.0032444449	8.8
0.0035048016	8.8
0.0036850485	8.8
0.0039253778	8.8
0.004095611	8.9
0.0042558305	8.9
0.0043860088	8.9
0.0045161872	8.9
0.0046063106	8.9
0.0047565164	9
0.0049768182	9
0.0052772298	9
0.0057879295	9
0.0064488349	9
0.0070196169	9.1
0.008010975	9.1
0.0089222234	9.1
0.010113856	9.1
0.0111953376	9.1
0.0123469153	9.2
0.0135585752	9.2
0.0143696865	9.2
0.015170784	9.2
0.0158316894	9.2
0.0163223616	9.3
0.0167829927	9.3
0.0171735277	9.3
0.0175440353	9.3
0.0178144057	9.3
0.0179245566	9.4
0.0180246938	9.4
0.018124831	9.4
0.0181748996	9.4
0.0182550094	9.4
0.018305078	9.5
0.0183451328	9.5
0.0184052151	9.5
0.0184552837	9.5
0.0185554209	9.5
0.0185754484	9.6
0.018625517	9.6
0.0187757227	9.6
0.0188358051	9.6
0.0188758599	9.6
0.0190060383	9.7
0.0191262029	9.7
0.0192263401	9.7
0.0193064498	9.7
0.0193765459	9.7
0.0194266145	9.8
0.0194866968	9.8
0.0195167379	9.8
0.0196068614	9.8
0.0196669437	9.8
0.0197069986	9.9
0.0198071358	9.9
0.0199473278	9.9
0.0200374513	9.9
0.020047465	9.9
0.0201175611	10
0.0201476022	10
0.0202477394	10
0.0203278492	10
0.0204079589	10
0.0205381372	10.1
0.0206583019	10.1
0.0207283979	10.1
0.0208085077	10.1
0.0209186586	10.1
0.0209887546	10.2
0.0210688643	10.2
0.0211289467	10.2
0.0212390976	10.2
0.0212991799	10.2
0.0214093308	10.3
0.0214994543	10.3
0.0216196189	10.3
0.0217397835	10.3
0.0217998658	10.3
0.0219200304	10.4
0.0220401951	10.4
0.0222104283	10.4
0.0223406066	10.4
0.0224407438	10.4
0.0225609084	10.5
0.0226910868	10.5
0.0229214023	10.5
0.0230415669	10.5
0.0232418413	10.5
0.023432102	10.6
0.0236223626	10.6
0.0237725684	10.6
0.023892733	10.6
0.0240529525	10.6
0.0241931446	10.7
0.0243133092	10.7
0.0244735287	10.7
0.0245736659	10.7
0.0246938305	10.7
0.0247438991	10.8
0.0248640638	10.8
0.0249441735	10.8
0.0250643381	10.8
0.025174489	10.8
0.0252545988	10.9
0.0252946537	10.9
0.025354736	10.9
0.0254048046	10.9
0.0254849143	10.9
0.0255850515	11
0.0256251064	11
0.0256851887	11
0.0257652985	11
0.0258353945	11
0.0259655728	11.1
0.0260456826	11.1
0.0261558335	11.1
