Frequency	Latency
1	7.6
1	7.7
1	7.8
2	7.9
1	7.9
3	7.9
1	8.0
2	8.0
2	8.0
2	8.0
3	8.0
1	8.1
3	8.1
2	8.1
1	8.2
1	8.2
2	8.2
6	8.2
1	8.3
5	8.3
5	8.3
3	8.3
5	8.4
4	8.4
9	8.4
3	8.4
4	8.4
8	8.5
3	8.5
2	8.5
6	8.5
6	8.5
11	8.6
7	8.6
10	8.6
13	8.6
15	8.6
16	8.7
24	8.7
18	8.7
32	8.7
26	8.7
23	8.8
30	8.8
26	8.8
18	8.8
24	8.8
17	8.9
16	8.9
13	8.9
13	8.9
9	8.9
15	9.0
22	9.0
30	9.0
51	9.0
66	9.0
57	9.1
99	9.1
91	9.1
119	9.1
108	9.1
115	9.2
121	9.2
81	9.2
80	9.2
66	9.2
49	9.3
46	9.3
39	9.3
37	9.3
27	9.3
11	9.4
10	9.4
10	9.4
5	9.4
8	9.4
5	9.5
4	9.5
6	9.5
5	9.5
10	9.5
2	9.6
5	9.6
15	9.6
6	9.6
4	9.6
13	9.7
12	9.7
10	9.7
8	9.7
7	9.7
5	9.8
6	9.8
3	9.8
9	9.8
6	9.8
4	9.9
10	9.9
14	9.9
9	9.9
1	9.9
7	10.0
3	10.0
10	10.0
8	10.0
8	10.0
13	10.1
12	10.1
7	10.1
8	10.1
11	10.1
7	10.2
8	10.2
6	10.2
11	10.2
6	10.2
11	10.3
9	10.3
12	10.3
12	10.3
6	10.3
12	10.4
12	10.4
17	10.4
13	10.4
10	10.4
12	10.5
13	10.5
23	10.5
12	10.5
20	10.5
19	10.6
19	10.6
15	10.6
12	10.6
16	10.6
14	10.7
12	10.7
16	10.7
10	10.7
12	10.7
5	10.8
12	10.8
8	10.8
12	10.8
11	10.8
8	10.9
4	10.9
6	10.9
5	10.9
8	10.9
10	11.0
4	11.0
6	11.0
8	11.0
7	11.0
13	11.1
8	11.1
11	11.1
8	11.1
7	11.1
10	11.2
2	11.2
10	11.2
5	11.2
6	11.2
4	11.3
8	11.3
6	11.3
7	11.3
6	11.3
6	11.4
10	11.4
9	11.4
5	11.4
7	11.4
9	11.5
5	11.5
10	11.5
6	11.5
10	11.5
9	11.6
8	11.6
11	11.6
11	11.6
11	11.6
10	11.7
12	11.7
10	11.7
9	11.7
11	11.7
7	11.8
10	11.8
4	11.8
3	11.8
4	11.8
6	11.9
6	11.9
2	11.9
5	11.9
6	11.9
2	12.0
4	12.0
3	12.0
3	12.0
6	12.0
5	12.1
1	12.1
2	12.1
5	12.1
4	12.1
8	12.2
8	12.2
5	12.2
5	12.2
7	12.2
5	12.3
5	12.3
3	12.3
2	12.3
7	12.3
3	12.4
2	12.4
2	12.4
2	12.4
1	12.5
1	12.5
1	12.5
1	12.6
1	12.6
1	12.6
1	12.7
1	12.7
1	12.7
1	12.8
1	12.8
1	12.9
1	12.9
1	12.9
1	13.0
1	13.1
1	13.2
1	13.2
1	13.2
1	13.3
1	13.3
1	13.4
2	13.4
3	13.5
2	13.5
1	13.5
1	13.6
2	13.8
1	13.8
1	13.8
1	13.8
1	13.9
1	14.0
1	14.1
1	14.2
2	14.2
2	14.2
2	14.3
1	14.3
1	14.4
1	14.4
1	14.5
2	14.5
1	14.5
2	14.6
1	14.7
2	14.7
2	14.9
1	14.9
1	15.0
1	15.0
3	15.0
1	15.1
1	15.1
1	15.2
1	15.2
3	15.2
2	15.2
1	15.3
5	15.3
2	15.3
1	15.3
2	15.4
2	15.4
1	15.5
1	15.5
2	15.6
2	15.6
1	15.6
2	15.7
1	15.7
2	15.8
1	15.8
1	15.8
1	15.8
1	15.9
1	16.0
1	16.0
1	16.0
1	16.1
2	16.1
1	16.1
1	16.2
1	16.2
1	16.2
1	16.2
1	16.3
1	16.3
2	16.4
1	16.4
1	16.4
3	16.5
1	16.5
1	16.6
1	16.6
1	16.7
2	16.9
1	16.9
1	16.9
1	16.9
1	17.0
1	17.1
1	17.1
1	17.1
2	17.2
1	17.2
2	17.3
1	17.3
1	17.4
1	17.4
1	17.4
1	17.4
1	17.5
1	17.6
1	17.7
1	17.7
2	17.7
1	17.8
1	17.8
1	18.0
1	18.2
1	18.2
2	18.3
1	18.4
1	18.4
1	18.5
1	18.5
1	18.6
2	18.7
1	18.8
1	18.8
1	18.9
1	18.9
1	18.9
1	19.0
1	19.1
1	19.1
1	19.2
2	19.3
1	19.5
3	19.5
1	19.5
1	19.7
1	19.7
1	19.8
1	19.8
1	19.8
1	20.1
1	20.1
2	20.1
1	20.2
2	20.2
1	20.3
2	20.3
1	20.4
1	20.4
1	20.5
1	20.5
1	20.6
1	20.6
1	20.7
1	20.8
1	20.9
1	20.9
1	21.0
1	21.3
1	21.3
2	21.3
1	21.4
1	21.5
1	21.7
1	21.7
1	21.9
1	21.9
2	21.9
1	22.0
1	22.0
1	22.1
1	22.2
1	22.4
1	22.4
2	22.5
3	22.5
1	22.7
1	22.7
1	22.8
3	22.9
1	22.9
1	23.0
2	23.0
1	23.0
1	23.1
1	23.1
1	23.3
1	23.3
1	23.4
2	23.4
1	23.5
1	23.5
1	23.6
2	23.6
1	23.7
1	23.7
1	23.7
3	23.8
1	23.8
1	23.8
1	24.0
1	24.0
1	24.1
1	24.2
1	24.3
2	24.4
1	24.5
1	24.6
1	24.7
1	24.8
2	24.8
1	24.9
1	25.1
1	25.1
2	25.1
1	25.2
1	25.4
1	25.4
1	25.6
1	25.6
1	25.7
1	25.7
2	25.8
2	25.9
2	25.9
1	25.9
2	25.9
1	26.0
1	26.0
1	26.0
1	26.1
1	26.1
1	26.3
1	26.4
1	26.5
1	26.6
2	26.6
1	26.7
1	26.8
2	26.8
1	27.0
1	27.0
1	27.1
1	27.2
3	27.2
1	27.2
2	27.3
1	27.3
1	27.3
1	27.4
1	27.4
1	27.5
1	27.6
1	27.6
2	27.7
1	27.7
1	27.8
1	27.9
1	28.1
1	28.1
1	28.4
2	28.4
1	28.5
1	28.7
1	28.8
2	29.1
1	29.1
1	29.2
1	29.3
1	29.3
1	29.3
1	29.5
1	29.6
1	29.6
2	29.7
1	29.8
2	29.8
1	30.4
1	30.6
2	30.9
1	31.0
1	31.0
1	31.3
1	31.8
1	31.8
2	31.9
1	32.0
1	32.0
1	32.6
1	32.8
1	33.1
1	33.2
1	33.2
1	33.3
1	33.6
1	33.6
1	33.7
1	33.7
1	33.8
1	33.8
1	34.3
2	34.3
2	34.3
1	34.5
1	34.6
2	34.7
2	34.9
1	34.9
1	34.9
1	35.3
2	35.3
1	35.3
1	35.6
1	35.7
1	35.8
1	35.8
1	35.9
2	36.0
1	36.0
1	36.0
1	36.0
1	36.1
1	36.2
1	36.4
1	36.4
1	36.5
1	36.5
1	36.6
1	36.6
2	36.7
1	36.7
1	36.7
6	36.7
4	36.8
5	36.8
15	36.8
11	36.8
12	36.8
7	36.9
6	36.9
2	36.9
3	36.9
9	36.9
2	37.0
6	37.0
2	37.0
4	37.0
4	37.0
3	37.1
4	37.1
8	37.1
4	37.1
4	37.1
2	37.2
3	37.2
5	37.2
8	37.2
5	37.2
11	37.3
17	37.3
11	37.3
11	37.3
16	37.3
11	37.4
10	37.4
17	37.4
17	37.4
35	37.4
42	37.5
81	37.5
94	37.5
122	37.5
95	37.5
112	37.6
99	37.6
76	37.6
52	37.6
47	37.6
34	37.7
42	37.7
48	37.7
46	37.7
38	37.7
30	37.8
35	37.8
26	37.8
31	37.8
39	37.8
34	37.9
40	37.9
41	37.9
54	37.9
45	37.9
57	38.0
55	38.0
45	38.0
55	38.0
39	38.0
49	38.1
36	38.1
44	38.1
36	38.1
39	38.1
15	38.2
39	38.2
34	38.2
32	38.2
38	38.2
32	38.3
35	38.3
30	38.3
38	38.3
44	38.3
27	38.4
34	38.4
33	38.4
28	38.4
28	38.4
27	38.5
23	38.5
33	38.5
22	38.5
26	38.5
30	38.6
35	38.6
19	38.6
17	38.6
27	38.6
27	38.7
13	38.7
18	38.7
18	38.7
17	38.7
9	38.8
16	38.8
14	38.8
9	38.8
13	38.8
9	38.9
6	38.9
10	38.9
12	38.9
7	38.9
12	39.0
11	39.0
8	39.0
11	39.0
3	39.0
10	39.1
11	39.1
8	39.1
5	39.1
8	39.1
8	39.2
6	39.2
4	39.2
10	39.2
6	39.2
7	39.3
7	39.3
5	39.3
10	39.3
10	39.3
8	39.4
1	39.4
4	39.4
6	39.4
3	39.4
8	39.5
6	39.5
5	39.5
9	39.5
6	39.5
11	39.6
6	39.6
6	39.6
6	39.6
11	39.6
21	39.7
15	39.7
25	39.7
14	39.7
19	39.7
16	39.8
20	39.8
11	39.8
9	39.8
14	39.8
8	39.9
7	39.9
8	39.9
11	39.9
6	39.9
10	40.0
7	40.0
8	40.0
5	40.0
8	40.0
8	40.1
4	40.1
11	40.1
13	40.1
11	40.1
11	40.2
8	40.2
13	40.2
10	40.2
11	40.2
7	40.3
8	40.3
6	40.3
9	40.3
6	40.3
11	40.4
14	40.4
9	40.4
12	40.4
6	40.4
8	40.5
7	40.5
8	40.5
8	40.5
6	40.5
10	40.6
6	40.6
6	40.6
7	40.6
10	40.6
12	40.7
3	40.7
5	40.7
8	40.7
3	40.7
11	40.8
6	40.8
8	40.8
11	40.8
5	40.8
11	40.9
6	40.9
12	40.9
10	40.9
8	40.9
11	41.0
8	41.0
8	41.0
12	41.0
11	41.0
1	41.1
14	41.1
5	41.1
7	41.1
10	41.1
8	41.2
7	41.2
7	41.2
11	41.2
7	41.2
12	41.3
14	41.3
16	41.3
13	41.3
14	41.3
14	41.4
12	41.4
13	41.4
13	41.4
15	41.4
22	41.5
11	41.5
32	41.5
29	41.5
21	41.5
22	41.6
22	41.6
26	41.6
25	41.6
43	41.6
29	41.7
49	41.7
43	41.7
49	41.7
47	41.7
56	41.8
57	41.8
63	41.8
64	41.8
97	41.8
111	41.9
122	41.9
131	41.9
155	41.9
154	41.9
132	42.0
111	42.0
118	42.0
85	42.0
106	42.0
97	42.1
102	42.1
105	42.1
120	42.1
109	42.1
126	42.2
124	42.2
134	42.2
142	42.2
149	42.2
183	42.3
175	42.3
226	42.3
241	42.3
268	42.3
284	42.4
288	42.4
361	42.4
362	42.4
481	42.4
587	42.5
754	42.5
971	42.5
1201	42.5
1360	42.5
1511	42.6
1514	42.6
1453	42.6
1375	42.6
1208	42.6
1116	42.7
1057	42.7
993	42.7
1008	42.7
1076	42.7
1073	42.8
1124	42.8
1120	42.8
1152	42.8
1097	42.8
997	42.9
1056	42.9
1074	42.9
1041	42.9
1103	42.9
1115	43.0
1214	43.0
1160	43.0
1343	43.0
1358	43.0
1322	43.1
1246	43.1
1112	43.1
1136	43.1
1094	43.1
1034	43.2
960	43.2
1018	43.2
1022	43.2
982	43.2
982	43.3
949	43.3
960	43.3
960	43.3
846	43.3
939	43.4
905	43.4
895	43.4
872	43.4
842	43.4
870	43.5
836	43.5
826	43.5
817	43.5
786	43.5
742	43.6
756	43.6
726	43.6
688	43.6
703	43.6
659	43.7
645	43.7
630	43.7
597	43.7
539	43.7
543	43.8
528	43.8
556	43.8
520	43.8
485	43.8
473	43.9
432	43.9
438	43.9
410	43.9
437	43.9
367	44.0
370	44.0
357	44.0
298	44.0
339	44.0
288	44.1
335	44.1
288	44.1
244	44.1
237	44.1
280	44.2
289	44.2
234	44.2
219	44.2
232	44.2
190	44.3
226	44.3
192	44.3
180	44.3
174	44.3
172	44.4
156	44.4
133	44.4
158	44.4
146	44.4
121	44.5
127	44.5
145	44.5
148	44.5
137	44.5
140	44.6
123	44.6
124	44.6
128	44.6
99	44.6
98	44.7
105	44.7
91	44.7
72	44.7
97	44.7
70	44.8
71	44.8
62	44.8
72	44.8
82	44.8
58	44.9
42	44.9
60	44.9
66	44.9
55	44.9
45	45.0
59	45.0
39	45.0
52	45.0
60	45.0
49	45.1
38	45.1
46	45.1
33	45.1
33	45.1
38	45.2
36	45.2
33	45.2
25	45.2
19	45.2
22	45.3
15	45.3
15	45.3
16	45.3
24	45.3
14	45.4
23	45.4
17	45.4
14	45.4
11	45.4
8	45.5
17	45.5
14	45.5
13	45.5
12	45.5
12	45.6
11	45.6
11	45.6
16	45.6
13	45.6
7	45.7
12	45.7
4	45.7
11	45.7
13	45.7
11	45.8
5	45.8
8	45.8
2	45.8
7	45.8
10	45.9
7	45.9
4	45.9
11	45.9
6	45.9
11	46.0
7	46.0
7	46.0
10	46.0
12	46.0
8	46.1
8	46.1
9	46.1
8	46.1
6	46.1
5	46.2
4	46.2
4	46.2
5	46.2
5	46.2
3	46.3
7	46.3
5	46.3
7	46.3
4	46.3
9	46.4
6	46.4
4	46.4
5	46.4
2	46.4
5	46.5
6	46.5
5	46.5
2	46.5
10	46.5
6	46.6
7	46.6
2	46.6
5	46.6
6	46.6
5	46.7
1	46.7
2	46.7
8	46.7
6	46.7
8	46.8
5	46.8
4	46.8
11	46.8
3	46.8
2	46.9
3	46.9
1	46.9
6	46.9
4	46.9
10	47.0
3	47.0
1	47.0
4	47.0
5	47.1
3	47.1
3	47.1
4	47.1
5	47.1
4	47.2
5	47.2
1	47.2
4	47.2
2	47.2
3	47.3
5	47.3
4	47.3
5	47.3
3	47.3
4	47.4
5	47.4
4	47.4
3	47.4
6	47.4
4	47.5
7	47.5
7	47.5
2	47.5
3	47.5
6	47.6
4	47.6
7	47.6
5	47.6
8	47.6
10	47.7
3	47.7
11	47.7
7	47.7
2	47.7
9	47.8
7	47.8
5	47.8
11	47.8
5	47.8
4	47.9
2	47.9
4	47.9
7	47.9
6	47.9
4	48.0
6	48.0
7	48.0
7	48.0
1	48.0
5	48.1
4	48.1
5	48.1
7	48.1
8	48.1
4	48.2
6	48.2
4	48.2
5	48.2
6	48.2
5	48.3
5	48.3
3	48.3
6	48.3
6	48.3
2	48.4
5	48.4
4	48.4
4	48.4
4	48.4
5	48.5
9	48.5
4	48.5
4	48.5
5	48.6
3	48.6
5	48.6
3	48.6
2	48.7
3	48.7
6	48.7
5	48.7
2	48.7
4	48.8
4	48.8
5	48.8
4	48.8
4	48.8
4	48.9
4	48.9
2	48.9
2	49.0
2	49.0
3	49.0
3	49.0
2	49.1
2	49.1
2	49.1
6	49.1
3	49.2
2	49.2
2	49.2
5	49.2
1	49.2
2	49.3
4	49.3
3	49.3
4	49.3
2	49.4
4	49.4
3	49.4
4	49.4
2	49.5
3	49.5
2	49.5
3	49.5
6	49.5
5	49.6
9	49.6
3	49.6
6	49.6
10	49.6
6	49.7
7	49.7
5	49.7
2	49.7
6	49.8
4	49.8
10	49.8
8	49.8
10	49.8
8	49.9
2	49.9
9	49.9
5	49.9
10	49.9
7	50.0
9	50.0
9	50.0
7	50.0
6	50.0
8	50.1
5	50.1
17	50.1
9	50.1
9	50.1
4	50.2
7	50.2
12	50.2
11	50.2
8	50.2
4	50.3
10	50.3
9	50.3
10	50.3
5	50.3
6	50.4
3	50.4
10	50.4
11	50.4
10	50.4
8	50.5
8	50.5
7	50.5
3	50.5
10	50.5
9	50.6
8	50.6
8	50.6
8	50.6
7	50.6
7	50.7
9	50.7
3	50.7
6	50.7
5	50.7
7	50.8
8	50.8
11	50.8
5	50.8
7	50.8
5	50.9
4	50.9
7	50.9
3	50.9
4	50.9
4	51.0
6	51.0
5	51.0
5	51.0
2	51.0
4	51.1
1	51.1
5	51.1
7	51.1
5	51.1
2	51.2
4	51.2
5	51.2
3	51.2
1	51.2
1	51.3
1	51.3
2	51.3
1	51.3
2	51.3
4	51.4
2	51.4
4	51.4
1	51.4
2	51.5
2	51.5
1	51.5
2	51.5
2	51.6
2	51.6
1	51.6
4	51.6
1	51.6
3	51.7
3	51.7
1	51.7
1	51.7
1	51.8
2	51.8
1	51.8
2	51.8
1	51.8
2	51.9
4	51.9
4	51.9
1	51.9
1	51.9
2	52.0
3	52.0
1	52.0
5	52.0
4	52.1
2	52.1
4	52.1
2	52.1
1	52.1
2	52.2
2	52.2
4	52.2
1	52.2
4	52.3
1	52.3
2	52.3
1	52.3
3	52.3
2	52.4
2	52.4
3	52.4
1	52.4
6	52.4
2	52.5
4	52.5
1	52.5
3	52.5
1	52.5
2	52.6
1	52.6
3	52.6
1	52.6
1	52.6
3	52.7
2	52.7
3	52.7
2	52.7
2	52.7
1	52.8
1	52.8
2	52.8
2	52.8
3	52.8
2	52.9
3	52.9
2	52.9
1	53.0
1	53.0
3	53.1
6	53.1
1	53.1
2	53.1
2	53.2
2	53.2
1	53.2
2	53.3
2	53.4
2	53.4
1	53.4
1	53.5
1	53.5
4	53.5
2	53.5
3	53.6
2	53.6
1	53.6
1	53.6
1	53.7
2	53.7
1	53.7
1	53.8
1	53.8
2	53.8
1	53.9
1	54.0
1	54.0
2	54.1
1	54.1
1	54.2
1	54.2
2	54.2
