Probability	Latency
0.0001001001	4.4
0.0003003003	4.5
0.0004004004	4.5
0.0006006006	4.5
0.001001001	4.5
0.0017017017	4.6
0.0025025025	4.6
0.0033033033	4.6
0.0044044044	4.6
0.0053053053	4.6
0.0064064064	4.7
0.0081081081	4.7
0.0093093093	4.7
0.0112112112	4.7
0.0124124124	4.7
0.0135135135	4.8
0.0155155155	4.8
0.0175175175	4.8
0.0191191191	4.8
0.0209209209	4.8
0.022022022	4.9
0.023023023	4.9
0.0242242242	4.9
0.0256256256	4.9
0.0273273273	4.9
0.0288288288	5
0.0306306306	5
0.0328328328	5
0.0349349349	5
0.0363363363	5
0.0374374374	5.1
0.04004004	5.1
0.0415415415	5.1
0.0427427427	5.1
0.0444444444	5.1
0.0462462462	5.2
0.0476476476	5.2
0.0495495495	5.2
0.0504504505	5.2
0.0521521522	5.2
0.053953954	5.3
0.0547547548	5.3
0.0562562563	5.3
0.0575575576	5.3
0.0587587588	5.3
0.0601601602	5.4
0.0612612613	5.4
0.0630630631	5.4
0.0645645646	5.4
0.0672672673	5.4
0.0697697698	5.5
0.0721721722	5.5
0.0764764765	5.5
0.0840840841	5.5
0.0952952953	5.5
0.1081081081	5.6
0.1221221221	5.6
0.1374374374	5.6
0.1522522523	5.6
0.1713713714	5.6
0.1917917918	5.7
0.2113113113	5.7
0.2376376376	5.7
0.268968969	5.7
0.303003003	5.7
0.3507507508	5.8
0.4062062062	5.8
0.4638638639	5.8
0.5292292292	5.8
0.5965965966	5.8
0.6640640641	5.9
0.727027027	5.9
0.7814814815	5.9
0.8242242242	5.9
0.8581581582	5.9
0.8782782783	6
0.8926926927	6
0.9005005005	6
0.9057057057	6
0.9095095095	6
0.9111111111	6.1
0.9127127127	6.1
0.9133133133	6.1
0.9138138138	6.1
0.9139139139	6.1
0.9146146146	6.2
0.9149149149	6.2
0.9153153153	6.2
0.9157157157	6.2
0.9162162162	6.2
0.9164164164	6.3
0.9167167167	6.3
0.9169169169	6.3
0.9173173173	6.3
0.918018018	6.3
0.9184184184	6.4
0.9185185185	6.4
0.9188188188	6.4
0.919019019	6.4
0.9195195195	6.4
0.92002002	6.5
0.9201201201	6.5
0.9202202202	6.5
0.9208208208	6.5
0.9213213213	6.5
0.9216216216	6.6
0.9222222222	6.6
0.9225225225	6.6
0.923023023	6.6
0.9232232232	6.6
0.9237237237	6.7
0.9242242242	6.7
0.9245245245	6.7
0.9247247247	6.7
0.925025025	6.7
0.9252252252	6.8
0.9257257257	6.8
0.926026026	6.8
0.9266266266	6.8
0.9267267267	6.8
0.9268268268	6.9
0.9271271271	6.9
0.9273273273	6.9
0.9278278278	6.9
0.9279279279	6.9
0.928028028	7
0.9281281281	7
0.9286286286	7
0.9288288288	7
0.9293293293	7
0.9296296296	7.1
0.9297297297	7.1
0.9302302302	7.1
0.9309309309	7.1
0.9316316316	7.1
0.9327327327	7.2
0.9333333333	7.2
0.9341341341	7.2
0.9349349349	7.2
0.9354354354	7.2
0.9361361361	7.3
0.9369369369	7.3
0.9371371371	7.3
0.9376376376	7.3
0.938038038	7.3
