Probability	Latency
0.0001001402	4.6
0.0003004206	4.7
0.001001402	4.7
0.0020028039	4.7
0.0030042059	4.7
0.0053074304	4.7
0.0068095333	4.8
0.0091127579	4.8
0.0119166834	4.8
0.0147206089	4.8
0.0175245343	4.8
0.021430002	4.9
0.0273382736	4.9
0.0335469658	4.9
0.0402563589	4.9
0.0476667334	4.9
0.0562787903	5
0.0653915482	5
0.0751051472	5
0.084718606	5
0.0961345884	5
0.1065491688	5.1
0.1182655718	5.1
0.1321850591	5.1
0.1473062287	5.1
0.1611255758	5.1
0.1755457641	5.2
0.1893651112	5.2
0.20408572	5.2
0.2191067494	5.2
0.2341277789	5.2
0.2510514721	5.3
0.2652713799	5.3
0.2807931104	5.3
0.2960144202	5.3
0.3079311035	5.3
0.321950731	5.4
0.3358702183	5.4
0.3500901262	5.4
0.3626076507	5.4
0.375025035	5.4
0.3875425596	5.5
0.3986581214	5.5
0.4109753655	5.5
0.4215902263	5.5
0.4324053675	5.5
0.4402163028	5.6
0.4478269577	5.6
0.4549369117	5.6
0.4629481274	5.6
0.4700580813	5.6
0.4767674745	5.7
0.48467855	5.7
0.490286401	5.7
0.4961946725	5.7
0.500500701	5.7
0.5054075706	5.8
0.5092128981	5.8
0.5144201883	5.8
0.5177248147	5.8
0.522431404	5.8
0.5262367314	5.9
0.5292409373	5.9
0.5323452834	5.9
0.5352493491	5.9
0.5381534148	5.9
0.5419587422	6
0.5454636491	6
0.5510715001	6
0.5592829962	6
0.5709993992	6
0.5840176247	6.1
0.5984378129	6.1
0.6134588424	6.1
0.6288804326	6.1
0.6427999199	6.1
0.6522130983	6.2
0.6610254356	6.2
0.6683356699	6.2
0.6736431003	6.2
0.6796515121	6.2
0.68876427	6.3
0.7001802524	6.3
0.7126977769	6.3
0.7258161426	6.3
0.7409373122	6.3
0.7592629682	6.4
0.7745844182	6.4
0.7879030643	6.4
0.7991187663	6.4
0.807630683	6.4
0.8161425996	6.5
0.8215501702	6.5
0.8272581614	6.5
0.832165031	6.5
0.8372721811	6.5
0.8424794713	6.6
0.8500901262	6.6
0.8574003605	6.6
0.8682155017	6.6
0.8778289605	6.6
0.8885439615	6.7
0.8992589625	6.7
0.9074704586	6.7
0.9135790106	6.7
0.9178850391	6.7
0.9224914881	6.8
0.9257961146	6.8
0.9276987783	6.8
0.9295013018	6.8
0.9308031244	6.8
0.9318045263	6.9
0.9324053675	6.9
0.9328059283	6.9
0.9331063489	6.9
0.9333066293	6.9
0.9339074705	7
0.934207891	7
0.9346084518	7
0.9351091528	7
0.9355097136	7
0.935709994	7.1
0.9360104146	7.1
0.9364109754	7.1
0.9371119567	7.1
0.9374123773	7.1
0.9375125175	7.2
0.9376126577	7.2
0.9379130783	7.2
0.9381133587	7.2
0.9384137793	7.2
0.9386140597	7.3
0.9390146205	7.3
0.9394151813	7.3
0.9396154616	7.3
0.9399158822	7.3
0.9401161626	7.4
0.940316443	7.4
0.9404165832	7.4
