Frequency	Latency
1	4.6
2	4.7
7	4.7
10	4.7
10	4.7
23	4.7
15	4.8
23	4.8
28	4.8
28	4.8
28	4.8
39	4.9
59	4.9
62	4.9
67	4.9
74	4.9
86	5.0
91	5.0
97	5.0
96	5.0
114	5.0
104	5.1
117	5.1
139	5.1
151	5.1
138	5.1
144	5.2
138	5.2
147	5.2
150	5.2
150	5.2
169	5.3
142	5.3
155	5.3
152	5.3
119	5.3
140	5.4
139	5.4
142	5.4
125	5.4
124	5.4
125	5.5
111	5.5
123	5.5
106	5.5
108	5.5
78	5.6
76	5.6
71	5.6
80	5.6
71	5.6
67	5.7
79	5.7
56	5.7
59	5.7
43	5.7
49	5.8
38	5.8
52	5.8
33	5.8
47	5.8
38	5.9
30	5.9
31	5.9
29	5.9
29	5.9
38	6.0
35	6.0
56	6.0
82	6.0
117	6.0
130	6.1
144	6.1
150	6.1
154	6.1
139	6.1
94	6.2
88	6.2
73	6.2
53	6.2
60	6.2
91	6.3
114	6.3
125	6.3
131	6.3
151	6.3
183	6.4
153	6.4
133	6.4
112	6.4
85	6.4
85	6.5
54	6.5
57	6.5
49	6.5
51	6.5
52	6.6
76	6.6
73	6.6
108	6.6
96	6.6
107	6.7
107	6.7
82	6.7
61	6.7
43	6.7
46	6.8
33	6.8
19	6.8
18	6.8
13	6.8
10	6.9
6	6.9
4	6.9
3	6.9
2	6.9
6	7.0
3	7.0
4	7.0
5	7.0
4	7.0
2	7.1
3	7.1
4	7.1
7	7.1
3	7.1
1	7.2
1	7.2
3	7.2
2	7.2
3	7.2
2	7.3
4	7.3
4	7.3
2	7.3
3	7.3
2	7.4
2	7.4
1	7.4
2	7.4
4	7.4
2	7.5
2	7.5
2	7.5
1	7.5
3	7.5
3	7.6
3	7.6
4	7.6
5	7.6
4	7.6
5	7.7
4	7.7
4	7.7
4	7.7
8	7.7
5	7.8
9	7.8
4	7.8
8	7.8
7	7.8
8	7.9
9	7.9
7	7.9
4	7.9
3	7.9
7	8.0
1	8.0
5	8.0
3	8.0
8	8.0
7	8.1
5	8.1
7	8.1
4	8.1
4	8.1
6	8.2
4	8.2
7	8.2
2	8.2
4	8.2
8	8.3
3	8.3
5	8.3
2	8.3
7	8.3
5	8.4
4	8.4
2	8.4
2	8.4
6	8.4
2	8.5
2	8.5
1	8.5
5	8.5
4	8.5
4	8.6
4	8.6
3	8.6
3	8.6
5	8.6
5	8.7
4	8.7
2	8.7
5	8.7
3	8.7
4	8.8
1	8.8
3	8.8
4	8.8
5	8.9
1	8.9
1	8.9
1	8.9
1	9.0
1	9.0
1	9.1
2	9.1
1	9.1
2	9.2
1	9.2
1	9.3
2	9.3
1	9.4
1	9.4
1	9.5
1	9.6
1	9.6
1	9.6
1	9.7
2	9.7
1	9.8
1	9.9
1	10.0
1	10.0
2	10.0
1	10.0
1	10.1
1	10.2
1	10.3
2	10.5
1	10.5
1	10.6
1	10.6
1	10.8
1	10.9
1	10.9
1	10.9
2	11.0
1	11.1
1	11.2
2	11.2
1	11.3
1	11.3
1	11.4
1	11.4
1	11.5
1	11.5
1	11.6
1	11.6
1	11.8
1	11.8
1	11.9
1	11.9
3	12.0
1	12.0
1	12.1
1	12.3
1	12.3
1	12.3
1	12.4
2	12.6
1	12.8
1	12.8
1	12.9
1	12.9
1	13.0
1	13.1
1	13.1
1	13.3
1	13.4
1	13.5
1	13.6
2	13.6
1	13.7
1	13.7
1	13.7
1	13.7
2	13.8
1	13.8
1	14.0
1	14.0
1	14.1
1	14.1
1	14.5
1	14.5
1	14.8
1	14.8
2	14.8
1	14.9
2	15.0
1	15.1
1	15.2
1	15.2
1	15.2
1	15.3
1	15.8
1	15.9
2	15.9
3	16.0
1	16.1
2	16.1
1	16.1
1	16.1
1	16.2
1	16.2
2	16.5
1	16.6
1	16.6
1	16.7
1	16.7
1	16.7
1	16.8
1	16.9
1	16.9
1	17.0
1	17.0
1	17.2
1	17.3
2	17.3
1	17.4
1	17.5
1	17.5
1	17.6
1	18.0
1	18.0
1	18.1
1	18.2
1	18.2
1	18.2
1	18.2
1	18.3
1	18.4
1	18.5
1	18.6
1	18.7
1	18.8
1	18.8
1	18.9
1	19.1
2	19.1
2	19.2
2	19.3
1	19.5
1	19.5
1	19.6
1	19.6
1	19.7
1	19.7
1	19.8
1	19.9
1	19.9
1	20.0
1	20.1
1	20.2
1	20.2
2	20.3
1	20.3
1	20.3
1	20.5
1	20.5
1	20.6
1	20.6
1	20.6
2	20.7
1	20.7
2	20.8
1	20.8
1	20.8
3	20.9
1	20.9
2	20.9
4	20.9
1	20.9
1	21.0
2	21.0
3	21.1
1	21.1
2	21.1
1	21.2
2	21.3
1	21.3
1	21.4
1	21.4
1	21.4
1	21.4
2	21.5
3	21.5
1	21.5
1	21.6
1	21.6
1	21.7
1	21.7
2	21.7
1	21.8
2	21.8
1	21.8
1	21.9
1	21.9
3	21.9
1	21.9
1	22.0
6	22.0
2	22.0
1	22.1
2	22.1
2	22.1
1	22.1
1	22.2
1	22.2
1	22.2
1	22.2
1	22.3
1	22.4
1	22.4
1	22.5
1	22.6
1	23.2
1	23.2
1	23.6
1	23.7
1	23.8
1	23.9
1	24.0
3	24.0
1	24.1
1	24.2
1	24.2
1	24.8
1	25.9
