Probability	Latency
0.0001000901	3.9
0.0004003603	4
0.0006005405	4
0.0016014413	4
0.0023020719	4
0.0039035132	4
0.0067060354	4.1
0.0098088279	4.1
0.014813332	4.1
0.0208187369	4.1
0.0289260334	4.1
0.0402362126	4.2
0.053147833	4.2
0.070363327	4.2
0.0885797217	4.2
0.1116004404	4.2
0.1332198979	4.3
0.1625462917	4.3
0.190071064	4.3
0.2208988089	4.3
0.2538284456	4.3
0.2885597037	4.4
0.3269942949	4.4
0.3640276249	4.4
0.4035632069	4.4
0.4395956361	4.4
0.4788309479	4.5
0.5177659894	4.5
0.5570013012	4.5
0.5911320188	4.5
0.6264638174	4.5
0.6563907517	4.6
0.6875187669	4.6
0.7169452507	4.6
0.7408667801	4.6
0.7651886698	4.6
0.7900110099	4.7
0.808627765	4.7
0.8265438895	4.7
0.8459613652	4.7
0.8607746972	4.7
0.8760884796	4.8
0.8898008207	4.8
0.9021119007	4.8
0.9118206386	4.8
0.9225302772	4.8
0.9302372135	4.9
0.9375437894	4.9
0.943148834	4.9
0.9497547793	4.9
0.9546591933	4.9
0.9594635172	5
0.9631668502	5
0.9665699129	5
0.9702732459	5
0.9735762186	5
0.9755780202	5.1
0.9769792814	5.1
0.9787809028	5.1
0.980282254	5.1
0.9812831548	5.1
0.9825843259	5.2
0.9832849565	5.2
0.9838854969	5.2
0.9845861275	5.2
0.985186668	5.2
0.9854869382	5.3
0.9858872986	5.3
0.9860874787	5.3
0.9866880192	5.3
0.9874887399	5.3
0.9875888299	5.4
0.98768892	5.4
0.9878891002	5.4
0.9880892804	5.5
0.9882894605	5.5
0.9883895506	5.5
0.9885897308	5.5
0.9886898208	5.5
0.9887899109	5.6
0.9889900911	5.6
0.9890901812	5.6
0.9891902712	5.7
0.9894905415	5.8
0.9895906316	5.8
0.9896907216	5.8
0.9897908117	5.8
0.9898909018	6
0.9899909919	6
0.990091082	6.1
0.9901911721	6.1
0.9903913522	6.1
0.9904914423	6.2
0.9905915324	6.2
0.9906916225	6.3
0.9908918026	6.3
0.9910919828	6.4
0.9911920729	6.5
0.9912921629	6.6
0.9914923431	6.7
0.9916925233	6.8
0.9917926134	6.8
0.9918927034	6.8
0.9920928836	6.9
0.9921929737	6.9
0.9922930638	6.9
0.9923931538	6.9
0.9926934241	7
0.9927935142	7
0.9929936943	7
0.9930937844	7
0.9931938745	7
0.9935942348	7.1
0.9936943249	7.1
0.9939945951	7.1
0.9941947753	7.1
0.9946952257	7.2
0.9948954059	7.2
0.995095586	7.2
0.9957962166	7.2
0.9960964868	7.3
0.9963967571	7.3
0.9964968472	7.3
0.9965969372	7.3
0.9966970273	7.3
0.9969972976	7.4
0.9973976579	7.4
0.997497748	7.4
0.9977980182	7.4
0.9982984686	7.4
0.9984986488	7.5
0.9986988289	7.5
0.998798919	7.5
0.9991992794	7.6
0.9992993694	7.6
0.9993994595	7.6
0.9994995496	7.7
0.9995996397	7.7
0.9996997298	7.7
0.9997998198	8.3
0.9998999099	8.5
1	8.8

