Probability	Latency
0.0003003604	3.7
0.0009010813	3.8
0.0024028835	3.8
0.0036043252	3.8
0.0066079295	3.8
0.0112134561	3.8
0.0143171806	3.9
0.0207248698	3.9
0.0273327994	3.9
0.0358430116	3.9
0.0459551462	3.9
0.0566680016	4
0.0688826592	4
0.0834000801	4
0.100020024	4
0.1245494594	4
0.1500800961	4.1
0.1770124149	4.1
0.2077492992	4.1
0.240288346	4.1
0.2789347217	4.1
0.3172807369	4.2
0.3589307169	4.2
0.4008810573	4.2
0.4428313977	4.2
0.4842811374	4.2
0.5277332799	4.3
0.5661794153	4.3
0.6052262715	4.3
0.6459751702	4.3
0.6814177012	4.3
0.7200640769	4.4
0.7547056468	4.4
0.7876451742	4.4
0.8170804966	4.4
0.8405086103	4.4
0.8628354025	4.5
0.8793552263	4.5
0.8938726472	4.5
0.9029835803	4.5
0.9101922307	4.5
0.9173007609	4.6
0.9217060473	4.6
0.9239086904	4.6
0.9251101322	4.6
0.926411694	4.6
0.9283139768	4.7
0.9298157789	4.7
0.9305166199	4.7
0.9316179415	4.7
0.9322186624	4.7
0.9332198638	4.8
0.9339207048	4.8
0.9349219063	4.8
0.9355226272	4.8
0.936824189	4.8
0.9388265919	4.9
0.9401281538	4.9
0.9421305567	4.9
0.9429315178	4.9
0.943732479	4.9
0.9453344013	5
0.9461353624	5
0.9470364437	5
0.9482378855	5
0.9491389668	5
0.9499399279	5.1
0.9507408891	5.1
0.9515418502	5.1
0.9528434121	5.1
0.9535442531	5.1
0.954144974	5.2
0.954845815	5.2
0.9553464157	5.2
0.9563476171	5.2
0.9577492992	5.2
0.9596515819	5.3
0.9620544654	5.3
0.9647577093	5.3
0.9665598718	5.3
0.968061674	5.3
0.9709651582	5.4
0.9722667201	5.4
0.9738686424	5.4
0.9751702042	5.4
0.9764717661	5.4
0.9782739287	5.5
0.9789747697	5.5
0.9803764517	5.5
0.9809771726	5.5
0.9815778935	5.5
0.9823788546	5.6
0.9830796956	5.6
0.9832799359	5.6
0.9838806568	5.6
0.9840808971	5.6
0.9843812575	5.7
0.9845814978	5.7
0.9847817381	5.7
0.9849819784	5.7
0.9850820985	5.8
0.9851822187	5.8
0.9854825791	5.8
0.9855826992	5.8
0.9858830597	5.9
0.9863836604	5.9
0.9866840208	5.9
0.986784141	5.9
0.9868842611	5.9
0.9871846215	6
0.9872847417	6
0.9875851021	6
0.9876852223	6
0.9878854626	6.1
0.9879855827	6.2
0.9880857028	6.3
0.988185823	6.3
0.9884861834	6.4
0.9889867841	6.4
0.9894873849	6.4
0.9898878654	6.4
0.9906888266	6.4
0.9908890669	6.5
0.9912895475	6.5
0.9913896676	6.5
0.9914897877	6.5
0.9918902683	6.5
0.9920905086	6.6
0.992390869	6.6
0.9925911093	6.6
0.9927913496	6.6
0.9929915899	6.7
0.9930917101	6.7
0.9932919503	6.7
0.9933920705	6.8
0.9934921906	6.8
0.9935923108	6.8
0.9936924309	6.8
0.9937925511	6.9
0.9938926712	6.9
0.9939927913	7
0.9941930316	7.1
0.9942931518	7.1
0.9944933921	7.1
0.9946936324	7.1
0.9947937525	7.2
0.9949939928	7.2
0.9950941129	7.3
0.9951942331	7.3
0.9952943532	7.3
0.9953944734	7.3
0.9954945935	7.4
0.9955947137	7.4
0.9956948338	7.5
0.9957949539	7.5
0.9958950741	7.7
0.9959951942	8.1
0.9960953144	8.3
0.9961954345	8.3
0.9962955547	8.5
0.9963956748	8.9
0.996495795	9.5
0.9965959151	9.6
0.9966960352	12
0.9967961554	12.6
0.9968962755	12.8
0.9969963957	14.5
0.9970965158	14.8
0.997196636	15.3
0.9972967561	15.4
0.9973968763	15.6
0.9974969964	16
0.9975971165	16.1
0.9976972367	16.2
0.9977973568	16.7
0.997897477	16.8
0.9979975971	17.1
0.9980977173	17.1
0.9981978374	17.4
0.9982979575	18.4
0.9983980777	18.4
0.9984981978	18.7
0.998598318	18.8
0.9986984381	18.8
0.9987985583	19.5
0.9988986784	19.6
0.9989987986	20.4
0.9990989187	20.5
0.9991990388	20.5
0.999299159	20.6
0.9993992791	20.7
0.9994993993	21
0.9995995194	21.1
0.9997997597	21.1
0.9998998799	21.9
1	23.4

