Probability	Latency
0.0001001603	9.7
0.0002003205	10
0.0003004808	10
0.000400641	10.1
0.0005008013	15.8
0.0006009615	15.8
0.0007011218	25.3
0.0008012821	26.6
0.0009014423	39.1
0.0010016026	39.2
0.0011017628	39.7
0.0012019231	39.7
0.0014022436	39.8
0.0015024038	40
0.0016025641	40.2
0.0018028846	40.2
0.0019030449	40.3
0.0020032051	40.3
0.0021033654	40.3
0.0022035256	40.4
0.0023036859	40.4
0.0024038462	40.4
0.0025040064	40.4
0.0026041667	40.6
0.0027043269	40.6
0.0029046474	40.6
0.0030048077	40.7
0.0033052885	40.7
0.0034054487	40.7
0.003505609	40.7
0.0036057692	40.8
0.0037059295	40.8
0.0038060897	40.8
0.0040064103	40.9
0.0042067308	40.9
0.0045072115	40.9
0.0046073718	40.9
0.0048076923	41
0.0050080128	41
0.0051081731	41
0.0052083333	41.1
0.0053084936	41.1
0.0055088141	41.1
0.0058092949	41.2
0.0060096154	41.2
0.0061097756	41.2
0.0062099359	41.3
0.0064102564	41.3
0.0067107372	41.3
0.0070112179	41.3
0.007411859	41.4
0.0075120192	41.4
0.0077123397	41.4
0.0078125	41.4
0.0079126603	41.4
0.0080128205	41.5
0.0081129808	41.5
0.0083133013	41.5
0.0084134615	41.5
0.0086137821	41.5
0.0091145833	41.6
0.0094150641	41.6
0.0101161859	41.6
0.0105168269	41.6
0.0108173077	41.6
0.0115184295	41.7
0.0118189103	41.7
0.012119391	41.7
0.0127203526	41.7
0.0132211538	41.7
0.0138221154	41.8
0.0142227564	41.8
0.0145232372	41.8
0.0150240385	41.8
0.0155248397	41.8
0.0159254808	41.9
0.0167267628	41.9
0.0170272436	41.9
0.0174278846	41.9
0.0177283654	41.9
0.0184294872	42
0.0192307692	42
0.019931891	42
0.0216346154	42
0.0231370192	42
0.0252403846	42.1
0.0274439103	42.1
0.0300480769	42.1
0.03125	42.1
0.0327524038	42.1
0.0345552885	42.2
0.0363581731	42.2
0.0373597756	42.2
0.0387620192	42.2
0.0396634615	42.2
0.0408653846	42.3
0.0426682692	42.3
0.0445713141	42.3
0.046875	42.3
0.0494791667	42.3
0.0523838141	42.4
0.0552884615	42.4
0.0571915064	42.4
0.0593950321	42.4
0.0609975962	42.4
0.0626001603	42.5
0.0645032051	42.5
0.06640625	42.5
0.0685096154	42.5
0.070713141	42.5
0.0740184295	42.6
0.0770232372	42.6
0.0806290064	42.6
0.0849358974	42.6
0.0878405449	42.6
0.0915464744	42.7
0.094150641	42.7
0.098056891	42.7
0.1018629808	42.7
0.1067708333	42.7
0.1137820513	42.8
0.1237980769	42.8
0.1370192308	42.8
0.1550480769	42.8
0.1749799679	42.8
0.1945112179	42.9
0.2142427885	42.9
0.23046875	42.9
0.2437900641	42.9
0.2558092949	42.9
0.2649238782	43
0.2749399038	43
0.2870592949	43
0.3010817308	43
0.3171073718	43
0.3301282051	43.1
0.3462540064	43.1
0.3618790064	43.1
0.3744991987	43.1
0.3875200321	43.1
0.3995392628	43.2
0.4109575321	43.2
0.4225761218	43.2
0.4378004808	43.2
0.4503205128	43.2
0.4638421474	43.3
0.4802684295	43.3
0.4932892628	43.3
0.5076121795	43.3
0.5209334936	43.3
0.531650641	43.4
0.5431690705	43.4
0.5527844551	43.4
0.5628004808	43.4
0.5735176282	43.4
0.5840344551	43.5
0.5944511218	43.5
0.6064703526	43.5
0.6185897436	43.5
0.629306891	43.5
0.6405248397	43.6
0.6524439103	43.6
0.66015625	43.6
0.6694711538	43.6
0.6773838141	43.6
0.6857972756	43.7
0.6947115385	43.7
0.703125	43.7
0.7100360577	43.7
0.7188501603	43.7
0.7280649038	43.8
0.7361778846	43.8
0.7443910256	43.8
0.7514022436	43.8
0.7578125	43.8
0.7650240385	43.9
0.7721354167	43.9
0.7784455128	43.9
0.7852564103	43.9
0.7906650641	43.9
0.7963741987	44
0.8029847756	44
0.8101963141	44
0.8170072115	44
0.8218149038	44
0.8273237179	44.1
0.8332331731	44.1
0.8384415064	44.1
0.8427483974	44.1
0.8478565705	44.1
0.8521634615	44.2
0.8559695513	44.2
0.8601762821	44.2
0.8641826923	44.2
0.8673878205	44.2
0.8699919872	44.3
0.8733974359	44.3
0.8755008013	44.3
0.878505609	44.3
0.8815104167	44.3
0.8842147436	44.4
0.88671875	44.4
0.8892227564	44.4
0.8914262821	44.4
0.8934294872	44.4
0.8951322115	44.5
0.8976362179	44.5
0.8994391026	44.5
0.9011418269	44.5
0.9024439103	44.5
0.9046474359	44.6
0.9057491987	44.6
0.9075520833	44.6
0.9089543269	44.6
0.9103565705	44.6
0.9109575321	44.7
0.9117588141	44.7
0.9128605769	44.7
0.9141626603	44.7
0.9151642628	44.7
0.9162660256	44.8
0.9174679487	44.8
0.9191706731	44.8
0.9202724359	44.8
0.921474359	44.8
0.9223758013	44.9
0.9232772436	44.9
0.9244791667	44.9
0.9262820513	44.9
0.9268830128	44.9
0.9277844551	45
0.9282852564	45
0.9290865385	45
0.930088141	45
0.9306891026	45
0.9313902244	45.1
0.9320913462	45.1
0.9328926282	45.1
0.93359375	45.1
0.9340945513	45.1
0.9350961538	45.2
0.9355969551	45.2
0.9363982372	45.2
0.9366987179	45.2
0.9372996795	45.3
0.9376001603	45.3
0.9381009615	45.3
0.9383012821	45.3
0.9387019231	45.4
0.9390024038	45.4
0.9395032051	45.4
0.9398036859	45.4
0.9401041667	45.4
0.9403044872	45.5
0.9404046474	45.5
0.9407051282	45.5
0.941005609	45.5
0.9411057692	45.6
0.9413060897	45.6
0.9416065705	45.6
0.941806891	45.7
0.9419070513	45.7
0.9420072115	45.7
0.9421073718	45.8
0.9423076923	45.8
0.9426081731	45.8
0.9428084936	45.9
0.9430088141	45.9
0.9433092949	45.9
0.9434094551	45.9
0.9436097756	46
0.9437099359	46
0.9438100962	46
0.9442107372	46.1
0.9443108974	46.1
0.9444110577	46.2
0.9445112179	46.2
0.9447115385	46.3
0.944911859	46.3
0.9450120192	46.3
0.9451121795	46.3
0.9452123397	46.4
0.9453125	46.4
0.9454126603	46.4
0.945713141	46.5
0.9458133013	46.5
0.9459134615	46.6
0.9460136218	46.6
