Probability	Latency
0.0001000801	4.2
0.0002001601	4.2
0.0005004003	4.2
0.0009007206	4.2
0.0019015212	4.3
0.0027021617	4.3
0.0030024019	4.3
0.0036028823	4.3
0.0045036029	4.3
0.0052041633	4.4
0.0064051241	4.4
0.0091072858	4.4
0.0116092874	4.4
0.0154123299	4.4
0.0181144916	4.5
0.0215172138	4.5
0.0240192154	4.5
0.0272217774	4.5
0.0295236189	4.5
0.0318254604	4.6
0.0333266613	4.6
0.0377301841	4.6
0.0418334668	4.6
0.0475380304	4.6
0.0543434748	4.7
0.0605484388	4.7
0.0669535629	4.7
0.0730584468	4.7
0.07816253	4.7
0.0826661329	4.8
0.0861689351	4.8
0.089071257	4.8
0.092173739	4.8
0.0941753403	4.8
0.095376301	4.9
0.096877502	4.9
0.0981785428	4.9
0.0989791833	4.9
0.0994795837	4.9
0.1000800641	5
0.1004803843	5
0.1011809448	5
0.1019815853	5
0.1026821457	5
0.1029823859	5.1
0.1034827862	5.1
0.1039831865	5.1
0.1043835068	5.1
0.1045836669	5.1
0.1050840673	5.2
0.1056845476	5.2
0.1059847878	5.2
0.1065852682	5.2
0.1067854283	5.2
0.1073859087	5.3
0.1076861489	5.3
0.1080864692	5.3
0.1087870296	5.3
0.10938751	5.3
0.1096877502	5.4
0.1098879103	5.4
0.1101881505	5.4
0.1104883907	5.4
0.110988791	5.4
0.1114891914	5.5
0.1119895917	5.5
0.112489992	5.5
0.1127902322	5.5
0.1130904724	5.5
0.1133907126	5.6
0.1135908727	5.6
0.1138911129	5.6
0.1167934347	5.6
0.1222978383	5.6
0.1310048038	5.7
0.1413130504	5.7
0.1588270616	5.7
0.1762409928	5.7
0.1943554844	5.7
0.2103682946	5.8
0.2211769416	5.8
0.2262810248	5.8
0.2283827062	5.8
0.2318855084	5.8
0.2402922338	5.9
0.2629103283	5.9
0.299939952	5.9
0.3660928743	5.9
0.4415532426	5.9
0.5153122498	6
0.590572458	6
0.660928743	6
0.7176741393	6
0.7657125701	6
0.7960368295	6.1
0.8123498799	6.1
0.8177542034	6.1
0.8221577262	6.1
0.8277622098	6.1
0.8333666934	6.2
0.8394715773	6.2
0.8454763811	6.2
0.8525820657	6.2
0.8603883106	6.2
0.8668935148	6.3
0.8710968775	6.3
0.8745996797	6.3
0.8774019215	6.3
0.8789031225	6.3
0.881204964	6.4
0.884307446	6.4
0.8909127302	6.4
0.8987189752	6.4
0.9051240993	6.4
0.9117293835	6.5
0.9181345076	6.5
0.923438751	6.5
0.9270416333	6.5
0.9305444355	6.5
0.9322457966	6.6
0.9339471577	6.6
0.9350480384	6.6
0.9358486789	6.6
0.9369495596	6.6
0.9371497198	6.7
0.93744996	6.7
0.9377502002	6.7
0.9378502802	6.7
0.9382506005	6.7
0.9383506805	6.8
0.9386509207	6.8
0.9388510809	6.8
0.939051241	6.8
0.9394515612	6.8
0.9396517214	6.9
0.9399519616	6.9
0.9402522018	6.9
0.9403522818	6.9
0.9404523619	6.9
0.9408526821	7
0.9411529223	7
0.9414531625	7
0.9417534027	7
0.9420536429	7.1
0.9424539632	7.1
0.9428542834	7.1
0.9434547638	7.1
0.9438550841	7.2
0.9442554043	7.2
0.9444555645	7.2
0.945256205	7.2
0.9456565252	7.2
0.9460568455	7.3
0.9466573259	7.3
0.9472578062	7.3
0.9475580464	7.3
0.9479583667	7.3
0.9480584468	7.4
0.9481585268	7.4
0.9485588471	7.4
0.9488590873	7.4
0.9489591673	7.4
0.9490592474	7.5
0.9492594075	7.5
0.9494595677	7.5
0.9496597278	7.5
0.9503602882	7.5
0.9512610088	7.6
0.9525620496	7.6
0.9533626902	7.6
0.954663731	7.6
0.9553642914	7.6
0.9563650921	7.7
0.9572658127	7.7
0.957766213	7.7
0.9583666934	7.7
0.9594675741	7.7
0.9601681345	7.8
0.9604683747	7.8
0.9612690152	7.8
0.9619695757	7.8
0.9627702162	7.8
0.9630704564	7.9
0.9633706966	7.9
0.9634707766	7.9
0.9637710168	7.9
0.9638710969	7.9
0.9639711769	8
0.9641713371	8
0.9648718975	8
0.9653722978	8
0.965572458	8.1
0.9660728583	8.1
0.9675740592	8.1
0.9682746197	8.1
0.96877502	8.1
0.9699759808	8.2
0.9707766213	8.2
0.9721777422	8.2
0.9738791033	8.2
0.9748799039	8.2
0.9757806245	8.3
0.9770816653	8.3
0.9772818255	8.3
0.9777822258	8.3
0.9778823058	8.4
0.9779823859	8.4
0.978082466	8.4
0.9782826261	8.5
0.9783827062	8.5
0.9785828663	8.5
0.9786829464	8.6
0.9787830264	8.6
0.9788831065	8.6
0.9789831865	8.7
0.9791833467	8.7
0.9792834267	8.7
0.9795836669	8.8
0.979683747	8.8
0.9798839071	8.8
0.9801841473	8.9
0.9803843074	8.9
0.9805844676	9
0.9806845476	9
0.9807846277	9.1
0.9810848679	9.1
0.981285028	9.1
0.9813851081	9.2
0.9814851882	9.2
0.9815852682	9.2
0.9817854283	9.3
0.9819855885	9.3
0.9820856685	9.3
0.9822858287	9.3
0.9823859087	9.3
0.9824859888	9.4
0.9825860689	9.5
0.9826861489	9.5
0.982786229	9.6
0.982886309	9.7
0.9829863891	9.9
0.9830864692	10.1
0.9831865492	10.3
0.9832866293	10.5
0.9833867094	10.5
0.9834867894	10.6
0.9835868695	10.6
0.9836869496	10.8
0.9837870296	10.8
0.9838871097	11
0.9839871898	11.1
0.9841873499	11.2
0.9842874299	11.5
0.98438751	11.5
0.9844875901	11.6
0.9845876701	11.6
0.9846877502	11.6
0.9847878303	11.7
0.9848879103	11.9
0.9849879904	11.9
0.9850880705	12
0.9851881505	12
0.9852882306	12.2
0.9853883106	12.3
0.9854883907	12.4
0.9856885508	12.8
0.9857886309	12.9
0.985888711	12.9
0.985988791	13
0.9860888711	13.2
0.9861889512	13.3
0.9862890312	13.3
0.9863891113	13.3
0.9864891914	13.5
0.9865892714	13.7
0.9866893515	13.7
0.9867894315	14.1
0.9868895116	14.3
0.9869895917	14.3
0.9870896717	14.5
0.9871897518	14.7
0.9872898319	15
0.9873899119	15.1
0.9875900721	15.1
0.9876901521	15.3
0.9877902322	15.3
0.9878903122	15.4
0.9879903923	15.5
0.9880904724	15.7
0.9881905524	15.8
0.9882906325	15.8
0.9883907126	16
0.9884907926	16
0.9885908727	16
0.9886909528	16.1
0.9887910328	16.1
0.9888911129	16.1
0.988991193	16.2
0.989091273	16.2
0.9891913531	16.2
0.9892914331	16.3
0.9893915132	16.4
0.9894915933	16.4
0.9895916733	16.5
0.9896917534	16.6
0.9897918335	16.7
0.9899919936	16.8
0.9900920737	16.9
0.9901921537	16.9
0.9903923139	16.9
0.9904923939	17
0.990592474	17
0.990692554	17
0.9907926341	17.1
0.9908927142	17.3
0.9909927942	17.4
0.9910928743	17.4
0.9911929544	17.6
0.9912930344	17.6
0.9913931145	17.6
0.9914931946	17.9
0.9915932746	17.9
0.9916933547	18.1
0.9917934347	18.1
0.9918935148	18.1
0.9919935949	18.2
0.9920936749	18.3
0.992193755	18.4
0.9922938351	18.5
0.9923939151	18.8
0.9924939952	18.9
0.9925940753	19
0.9926941553	19.1
0.9928943155	19.2
0.9929943955	19.3
0.9930944756	19.3
0.9931945556	19.5
0.9932946357	19.6
0.9933947158	19.6
0.9934947958	19.7
0.9935948759	19.8
0.993694956	19.8
0.993795036	20.1
0.9938951161	20.4
0.9940952762	21
0.9941953563	21.1
0.9942954363	21.2
0.9943955164	21.3
0.9944955965	21.4
0.9945956765	21.5
0.9946957566	21.5
0.9947958367	21.6
0.9948959167	21.6
0.9949959968	21.6
0.9950960769	21.7
0.9951961569	21.9
0.995296237	22
0.9953963171	22
0.9954963971	22.1
0.9955964772	22.1
0.9956965572	22.2
0.9957966373	22.2
0.9959967974	22.2
0.9960968775	22.3
0.9961969576	22.3
0.9962970376	22.4
0.9964971978	22.4
0.9965972778	22.5
0.9966973579	22.5
0.996797438	22.6
0.996897518	22.6
0.9969975981	22.7
0.9971977582	22.7
0.9972978383	22.7
0.9975980785	22.8
0.9976981585	22.8
0.9979983987	22.8
0.9980984788	22.9
0.9981985588	22.9
0.9982986389	22.9
0.998398719	23
0.998498799	23
0.9985988791	23
0.9986989592	23.1
0.9987990392	23.4
0.9988991193	24
0.9989991994	24.1
0.9990992794	24.2
0.9991993595	24.4
0.9993995196	24.5
0.9994995997	24.9
0.9995996797	25
0.9996997598	25.1
0.9997998399	25.1
0.9998999199	25.1
1	25.8

