Probability	Latency
0.0001001101	3.7
0.0002002202	3.7
0.0003003304	3.8
0.0005005506	3.8
0.0007007708	3.9
0.000800881	3.9
0.0009009911	4
0.0011012113	4
0.0012013215	4
0.0013014316	4.1
0.0014015417	4.1
0.0015016518	4.1
0.0017018721	4.1
0.0020022024	4.1
0.0022024227	4.2
0.002502753	4.2
0.0026028631	4.2
0.0030033036	4.2
0.0039042947	4.2
0.0051056162	4.3
0.0072079287	4.3
0.0092101311	4.3
0.0108118931	4.3
0.0133146461	4.3
0.01651817	4.4
0.0235258785	4.4
0.0356392031	4.4
0.0498548403	4.4
0.0641705876	4.4
0.0778856742	4.5
0.0886975673	4.5
0.096706377	4.5
0.1022124337	4.5
0.1129242166	4.5
0.1296426069	4.6
0.1453598959	4.6
0.1606767444	4.6
0.1740915007	4.6
0.1828010812	4.6
0.19010912	4.7
0.1926118731	4.7
0.195014516	4.7
0.2029232155	4.7
0.2155370908	4.7
0.2408649514	4.8
0.2783061368	4.8
0.3144458905	4.8
0.342176394	4.8
0.3654019421	4.8
0.3772149364	4.9
0.3854239664	4.9
0.391730904	4.9
0.4061467614	4.9
0.4270697768	4.9
0.4635098608	5
0.4986485134	5
0.5256782461	5
0.5428971869	5
0.5527079788	5
0.5593152468	5.1
0.5630193213	5.1
0.5708279107	5.1
0.5886475123	5.1
0.6232856142	5.1
0.6789468415	5.2
0.7452197417	5.2
0.8155971569	5.2
0.8754630093	5.2
0.9222144359	5.2
0.9519471419	5.3
0.9673641005	5.3
0.9750725798	5.3
0.9803784163	5.3
0.9831814996	5.3
0.985083592	5.4
0.9856842527	5.4
0.985984583	5.4
0.9864851336	5.4
0.986785464	5.4
0.9868855741	5.5
0.9869856843	5.5
0.9871859045	5.5
0.9872860146	5.6
0.9873861247	5.7
0.9874862349	5.7
0.987586345	5.7
0.9876864551	5.8
0.9877865652	5.8
0.9878866753	5.9
0.9880868956	6
0.9881870057	6
0.9882871158	6
0.9883872259	6.1
0.9884873361	6.1
0.9885874462	6.1
0.9886875563	6.1
0.9887876664	6.2
0.9888877766	6.2
0.9889878867	6.3
0.9890879968	6.4
0.9891881069	6.4
0.989288217	6.4
0.9893883272	6.5
0.9894884373	6.5
0.9895885474	6.5
0.9896886575	6.5
0.9897887676	6.6
0.9898888778	6.6
0.9899889879	6.6
0.9901892081	6.6
0.9903894284	6.7
0.9905896486	6.7
0.9907898689	6.7
0.9909900891	6.7
0.9911903093	6.8
0.9912904195	6.8
0.9914906397	6.8
0.9915907498	6.9
0.9921914106	6.9
0.9924917409	6.9
0.9928921814	6.9
0.9930924016	6.9
0.9931925118	7
0.9934928421	7
0.9935929522	7
0.9936930624	7
0.9938932826	7.1
0.9940935029	7.1
0.994193613	7.3
0.9942937231	7.3
0.9943938332	7.3
0.9944939433	7.4
0.9945940535	7.4
0.9947942737	7.4
0.9949944939	7.4
0.9951947142	7.5
0.9952948243	7.5
0.9953949344	7.5
0.9956952648	7.5
0.9961958154	7.6
0.9963960356	7.6
0.9964961458	7.6
0.9965962559	7.6
0.9968965862	7.6
0.9969966964	7.7
0.9971969166	7.7
0.9973971369	7.7
0.9975973571	7.8
0.9976974672	7.8
0.9977975773	7.8
0.9978976875	7.9
0.9979977976	7.9
0.9980979077	7.9
0.9981980178	8
0.9982981279	8
0.9983982381	8.4
0.9984983482	8.4
0.9985984583	8.6
0.9986985684	8.8
0.9987986785	8.9
0.9988987887	9
0.9990990089	9
0.9992992292	9.3
0.9993993393	9.3
0.9994994494	9.3
0.9995995595	9.6
0.9996996696	10.2
0.9997997798	10.3
0.9998998899	10.9
1	12.4

