Frequency	Latency
1	3.7
1	3.7
1	3.8
2	3.8
2	3.9
1	3.9
1	4.0
2	4.0
1	4.0
1	4.1
1	4.1
1	4.1
2	4.1
3	4.1
2	4.2
3	4.2
1	4.2
4	4.2
9	4.2
12	4.3
21	4.3
20	4.3
16	4.3
25	4.3
32	4.4
70	4.4
121	4.4
142	4.4
143	4.4
137	4.5
108	4.5
80	4.5
55	4.5
107	4.5
167	4.6
157	4.6
153	4.6
134	4.6
87	4.6
73	4.7
25	4.7
24	4.7
79	4.7
126	4.7
253	4.8
374	4.8
361	4.8
277	4.8
232	4.8
118	4.9
82	4.9
63	4.9
144	4.9
209	4.9
364	5.0
351	5.0
270	5.0
172	5.0
98	5.0
66	5.1
37	5.1
78	5.1
178	5.1
346	5.1
556	5.2
662	5.2
703	5.2
598	5.2
467	5.2
297	5.3
154	5.3
77	5.3
53	5.3
28	5.3
19	5.4
6	5.4
3	5.4
5	5.4
3	5.4
1	5.5
1	5.5
2	5.5
1	5.6
1	5.7
1	5.7
1	5.7
1	5.8
1	5.8
1	5.9
2	6.0
1	6.0
1	6.0
1	6.1
1	6.1
1	6.1
1	6.1
1	6.2
1	6.2
1	6.3
1	6.4
1	6.4
1	6.4
1	6.5
1	6.5
1	6.5
1	6.5
1	6.6
1	6.6
1	6.6
2	6.6
2	6.7
2	6.7
2	6.7
2	6.7
2	6.8
1	6.8
2	6.8
1	6.9
6	6.9
3	6.9
4	6.9
2	6.9
1	7.0
3	7.0
1	7.0
1	7.0
2	7.1
2	7.1
1	7.3
1	7.3
1	7.3
1	7.4
1	7.4
2	7.4
2	7.4
2	7.5
1	7.5
1	7.5
3	7.5
5	7.6
2	7.6
1	7.6
1	7.6
3	7.6
1	7.7
2	7.7
2	7.7
2	7.8
1	7.8
1	7.8
1	7.9
1	7.9
1	7.9
1	8.0
1	8.0
1	8.4
1	8.4
1	8.6
1	8.8
1	8.9
1	9.0
2	9.0
2	9.3
1	9.3
1	9.3
1	9.6
1	10.2
1	10.3
1	10.9
1	12.4
