Probability	Latency
0.0001001101	9.5
0.0002002202	9.7
0.0003003304	10
0.0004004405	10.1
0.0005005506	10.1
0.0006006607	10.2
0.0007007708	10.3
0.000800881	10.4
0.0009009911	10.5
0.0010011012	10.6
0.0011012113	10.6
0.0012013215	10.7
0.0013014316	10.9
0.0014015417	11.2
0.0015016518	11.2
0.0018019822	11.2
0.0021023125	11.3
0.0022024227	11.3
0.0024026429	11.3
0.002502753	11.3
0.0026028631	11.4
0.0028030834	11.4
0.0029031935	11.5
0.0030033036	11.5
0.003303634	11.5
0.0034037441	11.6
0.0035038542	11.6
0.0036039644	11.7
0.0038041846	11.7
0.0039042947	11.7
0.004104515	11.7
0.0048052858	11.8
0.0056061668	11.8
0.007408149	11.8
0.0094103514	11.8
0.0113124437	11.8
0.0128140955	11.9
0.014916408	11.9
0.0155170688	11.9
0.0174191611	11.9
0.0185203724	11.9
0.0205225748	12
0.0218240064	12
0.0225247773	12
0.0243267594	12
0.02482731	12
0.0253278606	12.1
0.0263289619	12.1
0.0269296226	12.1
0.0272299529	12.1
0.0274301732	12.1
0.0277305036	12.2
0.0284312744	12.2
0.0285313845	12.2
0.0288317149	12.2
0.0292321554	12.2
0.0295324857	12.3
0.0300330363	12.3
0.0304334768	12.3
0.0305335869	12.3
0.0308339173	12.3
0.0310341376	12.4
0.0313344679	12.4
0.031434578	12.4
0.0317349084	12.5
0.0318350185	12.5
0.0319351286	12.5
0.0321353489	12.5
0.032235459	12.6
0.0324356792	12.6
0.0325357894	12.6
0.0326358995	12.7
0.0328361197	12.7
0.0329362299	12.7
0.03303634	12.8
0.0331364501	12.8
0.0332365602	12.9
0.0333366703	12.9
0.0334367805	12.9
0.0336370007	13
0.0342376614	13
0.0344378817	13.1
0.0348383222	13.1
0.0352387626	13.1
0.0354389829	13.1
0.0357393132	13.2
0.0360396436	13.2
0.036339974	13.2
0.0367404145	13.2
0.0368405246	13.2
0.0369406347	13.3
0.0376414055	13.3
0.0379417359	13.3
0.038041846	13.3
0.0384422865	13.3
0.038842727	13.4
0.0390429472	13.4
0.0391430574	13.4
0.039643608	13.4
0.0398438282	13.4
0.0399439383	13.5
0.0400440485	13.5
0.0401441586	13.5
0.0402442687	13.5
0.0405445991	13.5
0.0407448193	13.6
0.0409450395	13.6
0.0416458104	13.6
0.0427470217	13.6
0.0431474622	13.6
0.0437481229	13.7
0.0444488938	13.7
0.0452497748	13.7
0.0461507658	13.7
0.0474521974	13.7
0.0488537391	13.8
0.0498548403	13.8
0.0502552808	13.8
0.0509560517	13.8
0.0515567124	13.8
0.0521573731	13.9
0.0527580338	13.9
0.0533586946	13.9
0.0542596857	13.9
0.0547602363	13.9
0.0552607869	14
0.0556612274	14
0.0558614476	14
0.0565622184	14
0.057062769	14
0.0574632095	14.1
0.0577635399	14.1
0.0579637601	14.1
0.0580638703	14.2
0.0581639804	14.2
0.0583642006	14.3
0.0584643107	14.4
0.0585644209	14.5
0.0587646411	14.5
0.0591650816	14.6
0.0593653018	14.6
0.059465412	14.6
0.0595655221	14.6
0.0597657423	14.6
0.0598658524	14.7
0.0600660727	14.7
0.0601661828	14.7
0.0602662929	14.8
0.0605666233	14.8
0.0607668435	14.8
0.0609670638	14.9
0.0610671739	14.9
0.061167284	15
0.0613675043	15
0.0615677245	15.1
0.0616678346	15.1
0.0618680549	15.2
0.061968165	15.3
0.0621683852	15.3
0.0623686055	15.4
0.0624687156	15.4
0.0626689358	15.4
0.0628691561	15.4
0.0629692662	15.5
0.0630693763	15.5
0.0631694864	15.6
0.0632695966	15.7
0.0633697067	15.7
0.0634698168	15.8
0.0635699269	15.8
0.063670037	15.8
0.0638702573	15.9
0.0640704775	15.9
0.064470918	15.9
0.065271799	15.9
0.0662729002	15.9
0.0679747722	16
0.070277305	16
0.0714786265	16
0.0724797277	16
0.0734808289	16
0.0738812694	16.1
0.0744819301	16.1
0.0745820402	16.1
0.0747822605	16.1
0.0749824807	16.1
0.0750825908	16.2
0.075182701	16.2
0.0753829212	16.2
0.0754830313	16.3
0.0756832516	16.3
0.0757833617	16.3
0.0758834718	16.4
0.0759835819	16.4
0.0760836921	16.4
0.0762839123	16.5
0.0766843528	16.5
0.0769846832	16.5
0.0774852338	16.5
0.0778856742	16.5
0.078486335	16.6
0.0790869957	16.6
0.0795875463	16.6
0.080188207	16.6
0.0819901892	16.6
0.0843928321	16.7
0.0927019722	16.7
0.1194313745	16.7
0.1786965662	16.7
0.2782060266	16.7
0.3852237461	16.8
0.4887376114	16.8
0.5687255982	16.8
0.6233857243	16.8
0.6619281209	16.8
0.6839523476	16.9
0.7000700771	16.9
0.71078186	16.9
0.717389128	16.9
0.7220943037	16.9
0.7251977175	17
0.7276003604	17
0.7294023426	17
0.7308038843	17
0.7325057563	17
0.7344078486	17.1
0.7353088397	17.1
0.7370107118	17.1
0.738812694	17.1
0.7401141255	17.1
0.7417158875	17.2
0.7426168786	17.2
0.7435178697	17.2
0.744619081	17.2
0.7467213935	17.2
0.7494243668	17.3
0.754529983	17.3
0.7613374712	17.3
0.7719491441	17.3
0.7821603764	17.3
0.7951746922	17.4
0.8077885674	17.4
0.822304535	17.4
0.8331164281	17.4
0.8428271098	17.4
0.8515366904	17.5
0.8588447292	17.5
0.8647512263	17.5
0.8695565122	17.5
0.872760036	17.5
0.8745620182	17.6
0.8769646611	17.6
0.8790669737	17.6
0.8813695065	17.6
0.8823706077	17.6
0.8832715988	17.7
0.8841725898	17.7
0.8851736911	17.7
0.8858744619	17.7
0.8866753429	17.7
0.8872760036	17.8
0.8882771048	17.8
0.8895785364	17.8
0.8904795275	17.8
0.8918810692	17.8
0.8922815097	17.9
0.8938832716	17.9
0.8954850335	17.9
0.8969866854	17.9
0.898388227	17.9
0.9003904295	18
0.9015917509	18
0.9023926319	18
0.9034938432	18
0.9050956052	18
0.9061968165	18.1
0.9069976975	18.1
0.9074982481	18.1
0.9086995695	18.1
0.9096005606	18.1
0.9105015517	18.2
0.9111022124	18.2
0.9120032035	18.2
0.9125037541	18.2
0.9130043047	18.2
0.913204525	18.3
0.9135048553	18.3
0.9136049655	18.3
0.9137050756	18.3
0.9140054059	18.3
0.9144058464	18.4
0.9148062869	18.4
0.914906397	18.5
0.9152067274	18.5
0.9156071679	18.5
0.915707278	18.6
0.9158073881	18.6
0.9159074982	18.6
0.9160076084	18.6
0.9161077185	18.6
0.9163079387	18.7
0.916508159	18.7
0.9166082691	18.8
0.9167083792	18.8
0.9168084893	18.8
0.9169085995	18.9
0.9170087096	18.9
0.9173090399	19
0.9174091501	19.1
0.9175092602	19.1
0.9178095905	19.2
0.9179097007	19.2
0.9180098108	19.3
0.9181099209	19.3
0.918210031	19.3
0.9183101412	19.7
0.9184102513	19.8
0.9186104715	19.8
0.9188106918	19.9
0.9189108019	20
0.919010912	20.2
0.9192111322	20.2
0.9193112424	20.7
0.9194113525	20.8
0.9196115727	21
0.9197116829	21
0.919811793	21.3
0.9199119031	21.4
0.9200120132	21.5
0.9201121233	21.5
0.9202122335	21.6
0.9203123436	21.7
0.9205125638	21.7
0.9206126739	21.8
0.9207127841	21.8
0.9208128942	21.9
0.9209130043	22
0.9210131144	22
0.9211132245	22.1
0.9212133347	22.1
0.9213134448	22.3
0.9214135549	22.8
0.921513665	22.8
0.9216137752	23
0.9217138853	23
0.9218139954	23.1
0.9219141055	23.2
0.9220142156	23.3
0.9221143258	23.6
0.9222144359	23.7
0.9224146561	23.8
0.9225147662	23.9
0.9226148764	24.1
0.9227149865	24.1
0.9228150966	24.2
0.9229152067	24.3
0.9230153168	24.3
0.923115427	24.4
0.9232155371	24.5
0.9233156472	24.6
0.9234157573	24.6
0.9235158675	24.7
0.9236159776	25.1
0.9237160877	25.1
0.9238161978	25.3
0.9239163079	25.7
0.9240164181	25.7
0.9241165282	26
0.9242166383	26.2
0.9243167484	26.3
0.9244168585	27.4
0.9245169687	27.6
0.9246170788	27.8
0.9247171889	27.9
0.924817299	27.9
0.9250175193	27.9
0.9251176294	28
0.9253178496	28.1
0.9254179598	28.2
0.9255180699	28.2
0.9259185104	28.3
0.9260186205	28.3
0.9262188407	28.3
0.926419061	28.3
0.9266192812	28.4
0.9267193913	28.4
0.9268195015	28.4
0.9269196116	28.4
0.9270197217	28.4
0.9271198318	28.5
0.9272199419	28.5
0.9273200521	28.5
0.9277204925	28.5
0.9278206027	28.6
0.9279207128	28.6
0.9280208229	28.6
0.9282210431	28.6
0.9283211533	28.7
0.9284212634	28.7
0.9286214836	28.8
0.9287215938	28.8
0.9288217039	28.8
0.928921814	28.9
0.9290219241	28.9
0.9291220342	28.9
0.9292221444	29
0.9294223646	29
0.9296225848	29.1
0.9298228051	29.1
0.9299229152	29.2
0.9302232456	29.2
0.9303233557	29.2
0.9304234658	29.3
0.9305235759	29.4
0.9306236861	29.4
0.9308239063	29.5
0.9309240164	29.6
0.9310241265	29.7
0.9312243468	29.8
0.931424567	29.8
0.9315246771	29.9
0.9316247873	29.9
0.9318250075	30
0.9319251176	30
0.9320252278	30
0.932225448	30.1
0.9324256682	30.2
0.9326258885	30.2
0.9327259986	30.2
0.9328261087	30.2
0.9329262188	30.3
0.933026329	30.3
0.9332265492	30.3
0.9333266593	30.4
0.9334267694	30.6
0.9335268796	30.6
0.9336269897	30.7
0.9337270998	30.7
0.9338272099	30.9
0.9339273201	31
0.9340274302	31.1
0.9341275403	31.4
0.9342276504	31.4
0.9343277605	31.6
0.9344278707	31.6
0.9345279808	31.7
0.9346280909	31.7
0.934728201	32.3
0.9348283111	32.4
0.9349284213	32.5
0.9350285314	32.5
0.9352287516	32.8
0.9358294124	32.8
0.9367304034	32.8
0.9375312844	32.8
0.9383321654	32.8
0.9389328261	32.9
0.9399339273	32.9
0.940534588	32.9
0.9410351387	32.9
0.9424366803	32.9
0.9431374512	33
0.9440384423	33
0.9449394334	33
0.945439984	33
0.9460406447	33
0.9470417459	33.1
0.947942737	33.1
0.9498448293	33.1
0.9514465913	33.1
0.9533486836	33.1
0.9559515467	33.2
0.9574531985	33.2
0.95865452	33.2
0.9601561718	33.2
0.9610571629	33.2
0.9625588147	33.3
0.9637601361	33.3
0.9645610171	33.3
0.9653618981	33.3
0.9663629993	33.3
0.9670637701	33.4
0.9678646511	33.4
0.9684653118	33.4
0.9689658624	33.4
0.9691660827	33.4
0.9698668535	33.5
0.9704675143	33.5
0.9707678446	33.5
0.9714686155	33.5
0.9722694964	33.5
0.9730703774	33.6
0.9738712584	33.6
0.9745720292	33.6
0.9752728001	33.6
0.9759735709	33.6
0.9766743418	33.7
0.977675443	33.7
0.9787766543	33.7
0.9789768746	33.7
0.9796776454	33.7
0.980178196	33.8
0.9806787466	33.8
0.9814796276	33.8
0.9820802883	33.8
0.982680949	33.8
0.9828811693	33.9
0.9829812794	33.9
0.9833817199	33.9
0.9835819401	33.9
0.9837821604	33.9
0.9839823806	34
0.9843828211	34
0.9847832616	34
0.9852838122	34
0.9857843628	34
0.985984583	34.1
0.9861848033	34.1
0.9865852438	34.1
0.9866853539	34.1
0.9869856843	34.1
0.9872860146	34.2
0.9874862349	34.2
0.9877865652	34.2
0.9878866753	34.2
0.9879867855	34.2
0.9881870057	34.3
0.9882871158	34.3
0.9883872259	34.3
0.9884873361	34.3
0.9886875563	34.4
0.9889878867	34.4
0.9891881069	34.4
0.9895885474	34.4
0.9896886575	34.4
0.9899889879	34.5
0.9901892081	34.5
0.9902893183	34.5
0.9903894284	34.7
0.9904895385	34.7
0.9905896486	34.8
0.990889979	34.8
0.9909900891	34.9
0.9910901992	35
0.9911903093	35
0.9912904195	35.1
0.9913905296	35.1
0.9915907498	35.1
0.9916908599	35.2
0.9918910802	35.2
0.9919911903	35.4
0.9920913004	35.5
0.9921914106	36.3
0.9922915207	36.5
0.9923916308	36.8
