Frequency	Latency
1	9.5
1	9.7
1	10.0
1	10.1
1	10.1
1	10.2
1	10.3
1	10.4
1	10.5
1	10.6
1	10.6
1	10.7
1	10.9
1	11.2
1	11.2
3	11.2
3	11.3
1	11.3
2	11.3
1	11.3
1	11.4
2	11.4
1	11.5
1	11.5
3	11.5
1	11.6
1	11.6
1	11.7
2	11.7
1	11.7
2	11.7
7	11.8
8	11.8
18	11.8
20	11.8
19	11.8
15	11.9
21	11.9
6	11.9
19	11.9
11	11.9
20	12.0
13	12.0
7	12.0
18	12.0
5	12.0
5	12.1
10	12.1
6	12.1
3	12.1
2	12.1
3	12.2
7	12.2
1	12.2
3	12.2
4	12.2
3	12.3
5	12.3
4	12.3
1	12.3
3	12.3
2	12.4
3	12.4
1	12.4
3	12.5
1	12.5
1	12.5
2	12.5
1	12.6
2	12.6
1	12.6
1	12.7
2	12.7
1	12.7
1	12.8
1	12.8
1	12.9
1	12.9
1	12.9
2	13.0
6	13.0
2	13.1
4	13.1
4	13.1
2	13.1
3	13.2
3	13.2
3	13.2
4	13.2
1	13.2
1	13.3
7	13.3
3	13.3
1	13.3
4	13.3
4	13.4
2	13.4
1	13.4
5	13.4
2	13.4
1	13.5
1	13.5
1	13.5
1	13.5
3	13.5
2	13.6
2	13.6
7	13.6
11	13.6
4	13.6
6	13.7
7	13.7
8	13.7
9	13.7
13	13.7
14	13.8
10	13.8
4	13.8
7	13.8
6	13.8
6	13.9
6	13.9
6	13.9
9	13.9
5	13.9
5	14.0
4	14.0
2	14.0
7	14.0
5	14.0
4	14.1
3	14.1
2	14.1
1	14.2
1	14.2
2	14.3
1	14.4
1	14.5
2	14.5
4	14.6
2	14.6
1	14.6
1	14.6
2	14.6
1	14.7
2	14.7
1	14.7
1	14.8
3	14.8
2	14.8
2	14.9
1	14.9
1	15.0
2	15.0
2	15.1
1	15.1
2	15.2
1	15.3
2	15.3
2	15.4
1	15.4
2	15.4
2	15.4
1	15.5
1	15.5
1	15.6
1	15.7
1	15.7
1	15.8
1	15.8
1	15.8
2	15.9
2	15.9
4	15.9
8	15.9
10	15.9
17	16.0
23	16.0
12	16.0
10	16.0
10	16.0
4	16.1
6	16.1
1	16.1
2	16.1
2	16.1
1	16.2
1	16.2
2	16.2
1	16.3
2	16.3
1	16.3
1	16.4
1	16.4
1	16.4
2	16.5
4	16.5
3	16.5
5	16.5
4	16.5
6	16.6
6	16.6
5	16.6
6	16.6
18	16.6
24	16.7
83	16.7
267	16.7
592	16.7
994	16.7
1069	16.8
1034	16.8
799	16.8
546	16.8
385	16.8
220	16.9
161	16.9
107	16.9
66	16.9
47	16.9
31	17.0
24	17.0
18	17.0
14	17.0
17	17.0
19	17.1
9	17.1
17	17.1
18	17.1
13	17.1
16	17.2
9	17.2
9	17.2
11	17.2
21	17.2
27	17.3
51	17.3
68	17.3
106	17.3
102	17.3
130	17.4
126	17.4
145	17.4
108	17.4
97	17.4
87	17.5
73	17.5
59	17.5
48	17.5
32	17.5
18	17.6
24	17.6
21	17.6
23	17.6
10	17.6
9	17.7
9	17.7
10	17.7
7	17.7
8	17.7
6	17.8
10	17.8
13	17.8
9	17.8
14	17.8
4	17.9
16	17.9
16	17.9
15	17.9
14	17.9
20	18.0
12	18.0
8	18.0
11	18.0
16	18.0
11	18.1
8	18.1
5	18.1
12	18.1
9	18.1
9	18.2
6	18.2
9	18.2
5	18.2
5	18.2
2	18.3
3	18.3
1	18.3
1	18.3
3	18.3
4	18.4
4	18.4
1	18.5
3	18.5
4	18.5
1	18.6
1	18.6
1	18.6
1	18.6
1	18.6
2	18.7
2	18.7
1	18.8
1	18.8
1	18.8
1	18.9
1	18.9
3	19.0
1	19.1
1	19.1
3	19.2
1	19.2
1	19.3
1	19.3
1	19.3
1	19.7
1	19.8
2	19.8
2	19.9
1	20.0
1	20.2
2	20.2
1	20.7
1	20.8
2	21.0
1	21.0
1	21.3
1	21.4
1	21.5
1	21.5
1	21.6
1	21.7
2	21.7
1	21.8
1	21.8
1	21.9
1	22.0
1	22.0
1	22.1
1	22.1
1	22.3
1	22.8
1	22.8
1	23.0
1	23.0
1	23.1
1	23.2
1	23.3
1	23.6
1	23.7
2	23.8
1	23.9
1	24.1
1	24.1
1	24.2
1	24.3
1	24.3
1	24.4
1	24.5
1	24.6
1	24.6
1	24.7
1	25.1
1	25.1
1	25.3
1	25.7
1	25.7
1	26.0
1	26.2
1	26.3
1	27.4
1	27.6
1	27.8
1	27.9
1	27.9
2	27.9
1	28.0
2	28.1
1	28.2
1	28.2
4	28.3
1	28.3
2	28.3
2	28.3
2	28.4
1	28.4
1	28.4
1	28.4
1	28.4
1	28.5
1	28.5
1	28.5
4	28.5
1	28.6
1	28.6
1	28.6
2	28.6
1	28.7
1	28.7
2	28.8
1	28.8
1	28.8
1	28.9
1	28.9
1	28.9
1	29.0
2	29.0
