Probability	Latency
0.0001001402	8.3
0.0002002804	8.4
0.000500701	8.5
0.0007009814	8.5
0.0008011216	8.5
0.0012016824	8.5
0.0016022431	8.5
0.0017023833	8.6
0.0022030843	8.6
0.0025035049	8.6
0.0030042059	8.6
0.0033046265	8.6
0.0037051873	8.7
0.004105748	8.7
0.0047065892	8.7
0.0052072902	8.7
0.0058081314	8.7
0.0063088324	8.8
0.0065091128	8.8
0.0071099539	8.8
0.0077107951	8.8
0.0079110755	8.8
0.0091127579	8.9
0.0095133186	8.9
0.0102143	8.9
0.0113158422	8.9
0.0126176647	8.9
0.0133186461	9
0.0145203285	9
0.0162227118	9
0.0179250951	9
0.0185259363	9
0.0196274785	9.1
0.020929301	9.1
0.021930703	9.1
0.0231323853	9.1
0.0242339275	9.1
0.0253354697	9.2
0.0262367314	9.2
0.027538554	9.2
0.0287402363	9.2
0.0296414981	9.2
0.0309433206	9.3
0.0318445824	9.3
0.0337472461	9.3
0.0348487883	9.3
0.0357500501	9.3
0.0373522932	9.4
0.0383536952	9.4
0.0394552373	9.4
0.0404566393	9.4
0.0413579011	9.4
0.042359303	9.5
0.0431604246	9.5
0.0442619668	9.5
0.0450630883	9.5
0.0460644903	9.5
0.0472661726	9.6
0.048467855	9.6
0.0493691168	9.6
0.0502703785	9.6
0.0511716403	9.6
0.052573603	9.7
0.053575005	9.7
0.0548768276	9.7
0.0557780893	9.7
0.0569797717	9.7
0.0576807531	9.8
0.0583817344	9.8
0.0589825756	9.8
0.0602843982	9.8
0.0608852393	9.8
0.0616863609	9.9
0.0627879031	9.9
0.063288604	9.9
0.0640897256	9.9
0.0644902864	9.9
0.0654916884	10
0.0658922491	10
0.0666933707	10
0.0675946325	10
0.0677949129	10
0.0682956139	10.1
0.0689965952	10.1
0.0691968756	10.1
0.0697977168	10.1
0.0699979972	10.1
0.0704986982	10.2
0.0707991188	10.2
0.070899259	10.2
0.0709993992	10.2
0.0713999599	10.2
0.0718005207	10.3
0.0720008011	10.3
0.0723012217	10.3
0.0725015021	10.3
0.0728019227	10.3
0.0730022031	10.4
0.0733026237	10.4
0.0734027639	10.4
0.0737031845	10.4
0.0741037452	10.4
0.074504306	10.5
0.0751051472	10.5
0.0752052874	10.5
0.0753054276	10.5
0.0758061286	10.5
0.0761065492	10.6
0.0762066894	10.6
0.07650711	10.6
0.0767073903	10.6
0.0768075305	10.6
0.0772080913	10.7
0.0776086521	10.7
0.0778089325	10.7
0.0781093531	10.7
0.0788103345	10.7
0.079611456	10.8
0.080112157	10.8
0.0805127178	10.8
0.0812136992	10.8
0.0813138394	10.8
0.0818145404	10.9
0.0823152413	10.9
0.0827158021	10.9
0.0830162227	10.9
0.0832165031	11
0.0834167835	11
0.0836170639	11
0.0838173443	11
0.0840176247	11
0.0846184659	11.1
0.0851191668	11.1
0.0854195874	11.1
0.085720008	11.1
0.0859202884	11.2
0.0861205688	11.2
0.0863208492	11.2
0.0865211296	11.2
0.0871219708	11.2
0.0874223913	11.3
0.0878229521	11.3
0.0880232325	11.3
0.0883236531	11.3
0.0889244943	11.4
0.0893250551	11.4
0.0895253355	11.4
0.0901261766	11.4
0.0904265972	11.4
0.0914279992	11.5
0.0929301021	11.5
0.0941317845	11.5
0.095934308	11.5
0.0986380933	11.5
0.1016422992	11.6
0.1073502904	11.6
0.1144602443	11.6
0.1222711797	11.6
0.1344882836	11.6
0.145904266	11.7
0.1597236131	11.7
0.1758461847	11.7
0.1919687563	11.7
0.2083917484	11.7
0.2212096936	11.8
0.2325255358	11.8
0.2402363309	11.8
0.2477468456	11.8
0.2532545564	11.8
0.2584618466	11.9
0.2634688564	11.9
0.2673743241	11.9
0.2701782495	11.9
0.2721810535	11.9
0.2738834368	12
0.27548568	12
0.2764870819	12
0.2786901662	12
0.2817945123	12
0.2849989986	12.1
0.2897055878	12.1
0.2960144202	12.1
0.3057280192	12.1
0.3188463849	12.1
0.3389745644	12.2
0.3641097537	12.2
0.3971560184	12.2
0.4354095734	12.2
0.4801722411	12.2
0.5317444422	12.3
0.5770078109	12.3
0.623973563	12.3
0.666332866	12.3
0.7014820749	12.3
0.7340276387	12.4
0.7557580613	12.4
