Probability	Latency
0.0001000901	8.2
0.0002001802	8.3
0.0003002702	8.3
0.0004003603	8.3
0.0008007206	8.3
0.0009008107	8.4
0.0013011711	8.4
0.0015013512	8.4
0.0018016215	8.4
0.0022019818	8.4
0.0024021619	8.5
0.002502252	8.5
0.0028025223	8.5
0.0031027925	8.5
0.0032028826	8.6
0.0036032429	8.6
0.0040036032	8.6
0.0042037834	8.6
0.0043038735	8.7
0.0046041437	8.7
0.0053047743	8.7
0.0061054949	8.7
0.0065058553	8.7
0.007406666	8.8
0.0078070263	8.8
0.0088079271	8.8
0.0103092784	8.8
0.0116104494	8.8
0.0135121609	8.9
0.0155139626	8.9
0.0182163948	8.9
0.0207186468	8.9
0.0241217095	8.9
0.0280252227	9
0.0313281954	9
0.034531078	9
0.0383345011	9
0.0446401762	9
0.0500450405	9.1
0.0554499049	9.1
0.0628565709	9.1
0.0706635972	9.1
0.0785707136	9.1
0.0856771094	9.2
0.0928835952	9.2
0.1035932339	9.2
0.1118006206	9.2
0.1200080072	9.2
0.1291162046	9.3
0.1364227805	9.3
0.1455309779	9.3
0.1526373736	9.3
0.1609448504	9.3
0.1681513362	9.4
0.1745571014	9.4
0.1820638575	9.4
0.188869983	9.4
0.1964768291	9.4
0.2034831348	9.5
0.2124912421	9.5
0.2188970073	9.5
0.2276048444	9.5
0.2369132219	9.5
0.2445200681	9.6
0.2533279952	9.6
0.2611350215	9.6
0.2674406966	9.6
0.2755479932	9.6
0.2818536683	9.7
0.2892603343	9.7
0.2946651987	9.7
0.2994695226	9.7
0.3060754679	9.7
0.3104794315	9.8
0.3140826744	9.8
0.3191872685	9.8
0.323491142	9.8
0.3281953758	9.8
0.3316985287	9.9
0.3364027625	9.9
0.3409068161	9.9
0.34571114	9.9
0.3492142929	9.9
0.3535181663	10
0.3574216795	10
0.3608247423	10
0.3643278951	10
0.3665298769	10
0.3698328496	10.1
0.3733360024	10.1
0.3766389751	10.1
0.3787408668	10.1
0.3807426684	10.1
0.38274447	10.2
0.385246722	10.2
0.3871484336	10.2
0.388950055	10.2
0.3908517666	10.2
0.3927534781	10.3
0.3946551897	10.3
0.3960564508	10.3
0.3977579822	10.3
0.3985587028	10.3
0.3995596036	10.4
0.4004604144	10.4
0.4017615854	10.4
0.402462216	10.4
0.4033630267	10.4
0.4041637474	10.5
0.404964468	10.5
0.4055650085	10.5
0.4065659093	10.5
0.4071664498	10.5
0.4076669002	10.6
0.4085677109	10.6
0.4091682514	10.6
0.4101691522	10.6
0.411170053	10.6
0.4117705935	10.7
0.4125713142	10.7
0.4132719448	10.7
0.4139725753	10.7
0.4145731158	10.7
0.4155740166	10.8
0.4168751877	10.8
0.4177759984	10.8
0.4179761786	10.8
0.4183765389	10.8
0.4188769893	10.9
0.4192773496	10.9
0.4195776199	10.9
0.4204784306	10.9
0.4207787008	10.9
0.4212791512	11
0.4216795116	11
0.4228805925	11
0.4238814933	11
0.4247823041	11
0.4256831148	11.1
0.4260834751	11.1
0.4265839255	11.1
0.4274847363	11.1
0.4277850065	11.2
0.4291862676	11.2
0.429586628	11.2
0.4302872585	11.2
0.430887799	11.2
0.4312881593	11.3
0.4316885197	11.3
0.4327895106	11.3
0.433289961	11.3
0.4340906816	11.3
0.4346912221	11.4
0.4354919427	11.4
0.4362926634	11.4
0.4366930237	11.4
0.4368932039	11.4
0.4376939245	11.5
0.438294465	11.5
0.4389950956	11.5
0.4403963567	11.5
0.4412971675	11.5
0.4428986087	11.6
0.4439995996	11.6
0.4453007707	11.6
0.4465018517	11.6
0.4478030227	11.6
0.4495045541	11.7
0.4522069863	11.7
0.455509959	11.7
0.4602141928	11.7
0.4664197778	11.7
0.475327795	11.8
0.4870383345	11.8
0.5017515764	11.8
0.5233710339	11.8
0.5449904914	11.8
0.5672104894	11.9
0.5920328295	11.9
0.6179561605	11.9
0.64197778	11.9
0.662996697	11.9
0.6825142628	12
0.7005304774	12
0.7155439896	12
0.7287558803	12
0.7379641678	12
0.7448703833	12.1
0.7500750676	12.1
0.7540786708	12.1
0.758082274	12.1
0.7609848864	12.1
0.7623861475	12.2
0.7637874087	12.2
0.7655890301	12.2
0.7667901111	12.2
0.7676909218	12.2
0.7683915524	12.3
0.7696927235	12.3
0.7706936243	12.3
0.7717946152	12.3
