Frequency	Latency
1	8.2
1	8.3
1	8.3
1	8.3
4	8.3
1	8.4
4	8.4
2	8.4
3	8.4
4	8.4
2	8.5
1	8.5
3	8.5
3	8.5
1	8.6
4	8.6
4	8.6
2	8.6
1	8.7
3	8.7
7	8.7
8	8.7
4	8.7
9	8.8
4	8.8
10	8.8
15	8.8
13	8.8
19	8.9
20	8.9
27	8.9
25	8.9
34	8.9
39	9.0
33	9.0
32	9.0
38	9.0
63	9.0
54	9.1
54	9.1
74	9.1
78	9.1
79	9.1
71	9.2
72	9.2
107	9.2
82	9.2
82	9.2
91	9.3
73	9.3
91	9.3
71	9.3
83	9.3
72	9.4
64	9.4
75	9.4
68	9.4
76	9.4
70	9.5
90	9.5
64	9.5
87	9.5
93	9.5
76	9.6
88	9.6
78	9.6
63	9.6
81	9.6
63	9.7
74	9.7
54	9.7
48	9.7
66	9.7
44	9.8
36	9.8
51	9.8
43	9.8
47	9.8
35	9.9
47	9.9
45	9.9
48	9.9
35	9.9
43	10.0
39	10.0
34	10.0
35	10.0
22	10.0
33	10.1
35	10.1
33	10.1
21	10.1
20	10.1
20	10.2
25	10.2
19	10.2
18	10.2
19	10.2
19	10.3
19	10.3
14	10.3
17	10.3
8	10.3
10	10.4
9	10.4
13	10.4
7	10.4
9	10.4
8	10.5
8	10.5
6	10.5
10	10.5
6	10.5
5	10.6
9	10.6
6	10.6
10	10.6
10	10.6
6	10.7
8	10.7
7	10.7
7	10.7
6	10.7
10	10.8
13	10.8
9	10.8
2	10.8
4	10.8
5	10.9
4	10.9
3	10.9
9	10.9
3	10.9
5	11.0
4	11.0
12	11.0
10	11.0
9	11.0
9	11.1
4	11.1
5	11.1
9	11.1
3	11.2
14	11.2
4	11.2
7	11.2
6	11.2
4	11.3
4	11.3
11	11.3
5	11.3
8	11.3
6	11.4
8	11.4
8	11.4
4	11.4
2	11.4
8	11.5
6	11.5
7	11.5
14	11.5
9	11.5
16	11.6
11	11.6
13	11.6
12	11.6
13	11.6
17	11.7
27	11.7
33	11.7
47	11.7
62	11.7
89	11.8
117	11.8
147	11.8
216	11.8
216	11.8
222	11.9
248	11.9
259	11.9
240	11.9
210	11.9
195	12.0
180	12.0
150	12.0
132	12.0
92	12.0
69	12.1
52	12.1
40	12.1
40	12.1
29	12.1
14	12.2
14	12.2
18	12.2
12	12.2
9	12.2
7	12.3
13	12.3
10	12.3
11	12.3
11	12.3
25	12.4
31	12.4
40	12.4
33	12.4
47	12.4
58	12.5
67	12.5
64	12.5
82	12.5
76	12.5
79	12.6
69	12.6
56	12.6
44	12.6
39	12.6
35	12.7
26	12.7
20	12.7
30	12.7
12	12.7
13	12.8
12	12.8
6	12.8
4	12.8
2	12.8
6	12.9
6	12.9
4	12.9
6	12.9
5	12.9
3	13.0
2	13.0
2	13.0
4	13.0
3	13.0
3	13.1
4	13.1
1	13.1
5	13.1
5	13.1
4	13.2
3	13.2
4	13.2
3	13.2
3	13.2
2	13.3
2	13.3
1	13.3
2	13.3
2	13.4
4	13.4
3	13.4
3	13.4
4	13.5
2	13.5
2	13.5
3	13.5
2	13.5
2	13.6
2	13.6
4	13.6
3	13.6
5	13.7
3	13.7
2	13.7
1	13.7
7	13.7
2	13.8
2	13.8
2	13.8
3	13.8
4	13.8
5	13.9
4	13.9
3	13.9
6	13.9
1	13.9
3	14.0
2	14.0
2	14.0
3	14.1
3	14.1
3	14.1
2	14.1
4	14.1
3	14.2
1	14.2
1	14.2
1	14.2
1	14.2
5	14.3
2	14.3
3	14.3
2	14.4
3	14.4
2	14.4
2	14.4
2	14.5
1	14.5
2	14.5
1	14.5
1	14.5
3	14.6
2	14.6
1	14.6
1	14.6
1	14.7
1	14.7
1	14.7
1	14.7
2	14.7
2	14.8
2	14.8
1	14.8
2	14.9
1	14.9
1	14.9
2	15.0
2	15.0
1	15.0
1	15.0
2	15.1
1	15.1
1	15.1
1	15.1
4	15.1
1	15.2
1	15.2
3	15.2
1	15.2
2	15.2
1	15.3
2	15.3
2	15.4
3	15.4
1	15.4
2	15.4
3	15.5
3	15.5
1	15.6
2	15.6
1	15.7
1	15.8
1	15.8
1	15.8
1	15.9
1	15.9
1	15.9
3	16.0
1	16.1
1	16.2
2	16.3
1	16.4
2	16.4
2	16.4
1	16.5
1	16.5
1	16.5
1	16.6
1	16.6
2	16.7
1	16.7
1	16.7
3	16.7
1	16.7
1	16.8
3	16.8
1	16.8
2	16.8
1	16.9
1	16.9
2	17.0
2	17.0
2	17.0
1	17.1
1	17.1
2	17.2
1	17.2
1	17.2
2	17.3
1	17.3
1	17.3
1	17.3
2	17.4
1	17.4
1	17.4
1	17.4
1	17.5
1	17.5
1	17.5
2	17.6
3	17.7
1	17.7
3	17.7
2	17.7
1	17.7
1	17.8
2	17.8
1	17.9
2	18.0
1	18.0
1	18.0
1	18.1
1	18.1
2	18.2
1	18.2
1	18.3
1	18.3
1	18.4
3	18.4
2	18.6
2	18.7
2	18.7
1	18.7
1	18.8
1	18.8
2	18.9
2	18.9
2	18.9
1	19.0
1	19.0
1	19.0
2	19.1
2	19.2
2	19.2
1	19.2
1	19.2
2	19.3
1	19.3
1	19.3
1	19.4
1	19.4
1	19.4
3	19.4
1	19.4
1	19.5
2	19.5
1	19.5
2	19.5
1	19.6
1	19.6
2	19.6
4	19.6
2	19.7
1	19.7
4	19.7
4	19.7
3	19.7
3	19.8
3	19.8
2	19.8
1	19.8
2	19.8
5	19.9
3	19.9
5	19.9
8	19.9
6	19.9
3	20.0
7	20.0
6	20.0
2	20.0
6	20.0
3	20.1
8	20.1
8	20.1
7	20.1
7	20.1
6	20.2
4	20.2
7	20.2
1	20.2
8	20.2
6	20.3
3	20.3
7	20.3
2	20.3
7	20.4
1	20.4
5	20.4
3	20.4
1	20.4
1	20.5
3	20.5
1	20.5
2	20.6
2	20.6
4	20.6
2	20.6
1	20.7
1	20.7
2	20.7
1	20.7
2	20.8
1	20.8
1	20.9
1	20.9
1	20.9
2	20.9
1	20.9
1	21.0
2	21.0
2	21.0
1	21.0
1	21.0
1	21.1
1	21.1
2	21.1
4	21.1
4	21.1
1	21.2
3	21.2
2	21.2
6	21.2
4	21.2
6	21.3
2	21.3
4	21.3
2	21.3
3	21.3
5	21.4
1	21.4
6	21.4
4	21.4
5	21.4
4	21.5
2	21.5
3	21.5
1	21.5
4	21.6
3	21.6
2	21.6
1	21.7
1	21.7
1	21.7
1	21.7
1	21.8
3	21.8
1	21.8
1	21.8
1	21.8
1	21.9
1	22.0
2	22.0
1	22.1
1	22.1
2	22.1
2	22.1
3	22.1
1	22.2
1	22.2
1	22.2
1	22.3
2	22.3
1	22.3
2	22.3
2	22.3
3	22.4
1	22.4
2	22.5
2	22.5
1	22.6
1	22.6
3	22.7
2	22.7
1	22.7
1	22.8
1	22.8
1	22.8
1	22.9
1	22.9
1	23.1
1	23.2
1	23.2
1	23.2
1	23.2
1	23.3
1	23.4
1	23.4
1	23.5
1	23.5
1	23.5
1	23.6
1	23.6
2	23.6
2	23.6
1	23.7
1	23.7
