Probability	Latency
0.0001001402	7.1
0.0002002804	7.1
0.0003004206	7.1
0.000500701	7.2
0.0006008412	7.2
0.001001402	7.3
0.0014019627	7.3
0.0020028039	7.3
0.0023032245	7.3
0.0029040657	7.3
0.0037051873	7.4
0.0049068696	7.4
0.0070098137	7.4
0.0094131784	7.4
0.0111155618	7.4
0.014820749	7.5
0.0198277589	7.5
0.0261365912	7.5
0.0334468256	7.5
0.0412577609	7.5
0.0516723413	7.6
0.0625876227	7.6
0.0768075305	7.6
0.090827158	7.6
0.1068495894	7.6
0.1233727218	7.7
0.1425996395	7.7
0.1613258562	7.7
0.1799519327	7.7
0.2014820749	7.7
0.2190066093	7.8
0.237232125	7.8
0.2570598838	7.8
0.2775886241	7.8
0.2958141398	7.8
0.3154416183	7.9
0.3358702183	7.9
0.3567995193	7.9
0.3773282596	7.9
0.3968555978	7.9
0.4144802724	8
0.4326056479	8
0.4470258362	8
0.4634488284	8
0.4801722411	8
0.4961946725	8.1
0.5095133186	8.1
0.5242339275	8.1
0.5363508912	8.1
0.5487682756	8.1
0.5590827158	8.2
0.569897857	8.2
0.5808131384	8.2
0.5905267374	8.2
0.5991387943	8.2
0.6085519728	8.3
0.619367114	8.3
0.6289805728	8.3
0.6363909473	8.3
0.645403565	8.3
0.6530142199	8.4
0.6604245944	8.4
0.6672341278	8.4
0.6736431003	8.4
0.6806529141	8.4
0.6863609053	8.5
0.6915681955	8.5
0.6974764671	8.5
0.7018826357	8.5
0.7072902063	8.5
0.7122972161	8.6
0.715802123	8.6
0.7205087122	8.6
0.7241137593	8.6
0.7282195073	8.6
0.7317244142	8.7
0.7359303024	8.7
0.7391347887	8.7
0.7422391348	8.7
0.7451432005	8.7
0.7468455838	8.8
0.7493490887	8.8
0.7511516123	8.8
0.7545563789	8.8
0.7570598838	8.8
0.7601642299	8.9
0.7624674544	8.9
0.7639695574	8.9
0.7661726417	8.9
0.7674744642	8.9
0.7690767074	9
0.7713799319	9
0.7730823152	9
0.7755858201	9
0.7776887643	9
0.7788904466	9.1
0.7809933907	9.1
0.7831964751	9.1
0.785199279	9.1
0.7867013819	9.1
0.7890046064	9.2
0.7910074104	9.2
0.7931103545	9.2
0.794912878	9.2
0.7961145604	9.2
0.7977168035	9.3
0.7996194673	9.3
0.8014219908	9.3
0.8033246545	9.3
0.805127178	9.3
0.8063288604	9.4
0.8082315241	9.4
0.8104346085	9.4
0.8118365712	9.4
0.8133386741	9.4
0.8147406369	9.5
0.8164430202	9.5
0.8185459644	9.5
0.8198477869	9.5
0.8210494693	9.5
0.8221510114	9.6
0.823452834	9.6
0.8248547967	9.6
0.827057881	9.6
0.8279591428	9.6
0.8301622271	9.7
0.8313639095	9.7
0.8322651712	9.7
0.8335669938	9.7
0.8354696575	9.7
0.8372721811	9.8
0.8385740036	9.8
0.8402763869	9.8
0.8419787703	9.8
0.8429801722	9.8
0.8450831164	9.9
0.8463849389	9.9
0.8477869017	9.9
0.8492890046	9.9
0.8512918085	9.9
0.8527939115	10
0.854095734	10
0.8553975566	10
0.8573002203	10
0.859703585	10
0.8611055478	10.1
0.8626076507	10.1
0.8641097537	10.1
0.8659122772	10.1
0.866813539	10.1
0.8684157821	10.2
0.8694171841	10.2
0.8708191468	10.2
0.8728219507	10.2
0.8742239135	10.2
0.8756258762	10.3
0.8774283998	10.3
0.8792309233	10.3
0.8808331664	10.3
0.8819347086	10.3
0.88263569	10.4
0.8847386341	10.4
0.8861405968	10.4
0.8875425596	10.4
0.8889445223	10.4
0.8901462047	10.5
0.891848588	10.5
0.8930502704	10.5
0.8945523733	10.5
0.8955537753	10.5
0.8972561586	10.6
0.8985579812	10.6
0.9005607851	10.6
0.9024634488	10.6
0.904566393	10.6
0.9064690567	10.7
0.9077708792	10.7
0.909673543	10.7
0.9108752253	10.7
0.9126777488	10.7
0.9145804126	10.8
0.9167834969	10.8
0.918886441	10.8
0.9207891047	10.8
0.9225916283	10.8
0.9238934508	10.9
0.9256959744	10.9
0.9267975165	10.9
0.9286000401	10.9
0.9305027038	10.9
0.9326056479	11
0.9350090126	11
0.9365111156	11
0.9381133587	11
0.940817144	11
0.9419186862	11.1
0.9439214901	11.1
0.9456238734	11.1
0.9473262568	11.1
0.9492289205	11.1
0.9504306028	11.2
0.952533547	11.2
0.9539355097	11.2
0.9557380332	11.2
0.9572401362	11.2
0.9582415382	11.3
0.9592429401	11.3
0.9602443421	11.3
0.961746445	11.3
0.9629481274	11.3
0.9637492489	11.4
0.9650510715	11.4
0.9660524735	11.4
0.9665531744	11.4
0.967354296	11.4
0.9682555578	11.5
0.9692569597	11.5
0.9701582215	11.5
0.9705587823	11.5
0.9710594833	11.5
0.9713599039	11.6
0.9717604647	11.6
0.971960745	11.6
0.9722611656	11.6
0.972461446	11.6
0.9725615862	11.7
0.972962147	11.7
0.9730622872	11.7
0.9731624274	11.8
0.9733627078	11.8
0.9736631284	11.8
0.9737632686	11.8
0.973963549	11.8
0.9741638294	11.9
0.9744642499	11.9
0.9745643901	12.1
0.9746645303	12.2
0.9747646705	12.4
0.9748648107	12.5
0.9749649509	12.5
0.9750650911	12.6
0.9751652313	12.6
0.9753655117	12.7
0.9754656519	12.8
0.9755657921	12.8
0.9756659323	12.9
0.9757660725	13.1
0.9761666333	13.2
0.9762667735	13.3
0.9763669137	13.6
0.9764670539	13.6
0.9765671941	13.6
0.9767674745	13.8
0.9768676147	14.1
0.9769677549	14.1
0.9770678951	14.1
0.9771680352	14.2
0.9772681754	14.3
0.9774684558	14.3
0.977568596	14.4
0.9777688764	14.5
0.9778690166	14.6
0.9779691568	14.7
0.978069297	14.7
0.9781694372	14.9
0.9782695774	15
0.9783697176	15
0.9784698578	15
0.9787702784	15.1
0.9788704186	15.2
0.9789705588	15.4
0.979070699	15.4
0.9791708392	15.5
0.9794712598	15.6
0.9796715402	15.6
0.9797716804	15.6
0.9798718205	15.7
0.9800721009	15.8
0.9801722411	15.8
0.9802723813	16
0.9803725215	16.2
0.9805728019	16.2
0.9806729421	16.4
0.9807730823	16.4
0.9808732225	16.4
0.9809733627	16.5
0.9811736431	16.5
0.9812737833	16.6
0.9813739235	16.6
0.9814740637	16.8
0.9815742039	16.8
0.9816743441	16.8
0.9817744843	16.9
0.9819747647	16.9
0.9820749049	17
0.9821750451	17
0.9824754657	17.1
0.9827758862	17.1
0.9828760264	17.1
0.9829761666	17.2
0.983176447	17.2
0.9833767274	17.3
0.9834768676	17.3
0.9835770078	17.3
0.983677148	17.4
0.9838774284	17.5
0.9839775686	17.5
0.9842779892	17.5
0.98467855	17.5
0.9847786902	17.6
0.9849789706	17.6
0.985179251	17.6
0.9854796715	17.6
0.9857800921	17.6
0.9858802323	17.7
0.9860805127	17.7
0.9862807931	17.7
0.9864810735	17.7
0.9866813539	17.7
0.9868816343	17.8
0.9871820549	17.8
0.9872821951	17.8
0.9874824755	17.8
0.9875826157	17.9
0.9878830363	17.9
0.9880833166	17.9
0.9883837372	18
0.9885840176	18
0.9886841578	18
0.988784298	18
0.9889845784	18.1
0.9894852794	18.1
0.9895854196	18.1
0.9898858402	18.1
0.9899859804	18.2
0.9901862608	18.2
0.9903865412	18.2
0.9904866814	18.2
0.9906869617	18.2
0.9907871019	18.3
0.9908872421	18.3
0.9909873823	18.4
0.9911876627	18.4
0.9912878029	18.4
0.9914880833	18.4
0.9915882235	18.5
0.9916883637	18.6
0.9918886441	18.6
0.9919887843	18.6
0.9921890647	18.7
0.9922892049	18.8
0.9924894853	18.8
0.9925896255	18.9
0.9926897657	19.2
0.9927899059	19.2
0.9928900461	19.2
0.9929901863	19.3
0.9930903265	19.5
0.9931904667	19.6
0.9932906068	19.6
0.993390747	19.6
0.9934908872	19.7
0.9935910274	19.9
0.9936911676	20
0.9937913078	20
0.993891448	20.1
0.9939915882	20.2
0.9940917284	20.4
0.9941918686	20.9
0.9942920088	21.2
0.994392149	22.8
0.9944922892	24.8
0.9945924294	28.3
0.9946925696	28.6
0.9947927098	33.6
0.99489285	34
0.9949929902	34.5
0.9950931304	34.8
0.9951932706	39.4
0.9952934108	39.7
0.995393551	39.9
0.9954936912	39.9
0.9955938314	41.3
0.9956939716	43.3
0.9957941118	45.8
0.995894252	46.3
0.9959943921	46.6
0.9960945323	47.4
0.9961946725	49
0.9962948127	49.9
0.9963949529	50.9
0.9964950931	51.6
0.9965952333	52.2
0.9966953735	54.9
0.9967955137	55.8
0.9968956539	55.9
0.9969957941	58.6
0.9970959343	60.3
0.9971960745	61.9
0.9972962147	62.2
0.9973963549	63
0.9974964951	64
0.9975966353	67.9
0.9976967755	69.3
0.9977969157	70.2
0.9979971961	70.8
0.9980973363	71.8
0.9981974765	73
0.9982976167	74
0.9983977569	76.1
0.9984978971	78.6
0.9985980373	79.9
0.9986981774	80.2
0.9987983176	80.4
0.9988984578	80.6
0.998998598	82.8
0.9990987382	85.3
0.9991988784	86.1
0.9992990186	88.5
0.9993991588	88.6
0.999499299	91.8
0.9995994392	92.2
0.9996995794	94.8
0.9997997196	96.5
0.9998998598	101.2
1	106.7

