Probability	Latency
0.0001001001	6.6
0.0002002002	6.7
0.0004004004	6.7
0.0005005005	6.7
0.0007007007	6.8
0.001001001	6.8
0.0014014014	6.8
0.002002002	6.8
0.0026026026	6.8
0.0035035035	6.9
0.0049049049	6.9
0.0063063063	6.9
0.0078078078	6.9
0.0106106106	6.9
0.0148148148	7
0.0181181181	7
0.0232232232	7
0.0301301301	7
0.0373373373	7
0.0445445445	7.1
0.0538538539	7.1
0.0645645646	7.1
0.0794794795	7.1
0.0938938939	7.1
0.1127127127	7.2
0.1287287287	7.2
0.1498498498	7.2
0.174974975	7.2
0.1998998999	7.2
0.2269269269	7.3
0.2552552553	7.3
0.2861861862	7.3
0.3157157157	7.3
0.3489489489	7.3
0.3791791792	7.4
0.4129129129	7.4
0.4494494494	7.4
0.4831831832	7.4
0.5215215215	7.4
0.5522522523	7.5
0.5860860861	7.5
0.6178178178	7.5
0.6476476476	7.5
0.6750750751	7.5
0.6991991992	7.6
0.725025025	7.6
0.7474474474	7.6
0.7688688689	7.6
0.787987988	7.6
0.8061061061	7.7
0.823023023	7.7
0.8378378378	7.7
0.8495495495	7.7
0.8612612613	7.7
0.8713713714	7.8
0.8783783784	7.8
0.8847847848	7.8
0.8900900901	7.8
0.8936936937	7.8
0.8971971972	7.9
0.9005005005	7.9
0.9028028028	7.9
0.9054054054	7.9
0.9069069069	7.9
0.9078078078	8
0.9087087087	8
0.9099099099	8
0.911011011	8
0.9117117117	8
0.9128128128	8.1
0.9136136136	8.1
0.9144144144	8.1
0.9152152152	8.1
0.9159159159	8.1
0.9169169169	8.2
0.918018018	8.2
0.9185185185	8.2
0.9187187187	8.2
0.9193193193	8.2
0.9198198198	8.3
0.9203203203	8.3
0.9211211211	8.3
0.9214214214	8.3
0.9217217217	8.3
0.9224224224	8.4
0.9225225225	8.4
0.9227227227	8.4
0.9228228228	8.4
0.923023023	8.4
0.9231231231	8.5
0.9232232232	8.5
0.9234234234	8.5
0.9235235235	8.5
0.9236236236	8.6
0.9238238238	8.6
0.9239239239	8.6
0.9241241241	8.7
0.9242242242	8.7
0.9243243243	8.8
0.9244244244	8.8
0.9245245245	8.8
0.9246246246	8.8
0.925025025	8.8
0.9252252252	8.9
0.9253253253	8.9
0.9254254254	8.9
0.9257257257	8.9
0.9258258258	9
0.926026026	9
0.9263263263	9
0.9267267267	9
0.9269269269	9.1
0.9271271271	9.1
0.9273273273	9.1
0.9276276276	9.1
0.928028028	9.1
0.9286286286	9.2
0.9291291291	9.2
0.9296296296	9.2
0.93003003	9.2
0.9303303303	9.2
0.9308308308	9.3
0.9315315315	9.3
0.9318318318	9.3
0.9323323323	9.3
0.9329329329	9.3
0.9335335335	9.4
0.9341341341	9.4
0.9351351351	9.4
0.936036036	9.4
0.9368368368	9.4
0.9377377377	9.5
0.9385385385	9.5
0.9389389389	9.5
0.9397397397	9.5
0.9408408408	9.5
0.9414414414	9.6
0.9418418418	9.6
0.9427427427	9.6
0.9433433433	9.6
0.9439439439	9.6
0.9444444444	9.7
0.9447447447	9.7
0.945045045	9.7
0.9452452452	9.7
0.9454454454	9.7
0.9457457457	9.8
0.9458458458	9.8
0.9461461461	9.8
0.9462462462	9.8
0.9464464464	9.8
0.9465465465	9.9
0.9466466466	9.9
0.9467467467	9.9
0.9468468468	10
0.947047047	10
0.9471471471	10.1
0.9472472472	10.1
0.9473473473	10.2
0.9474474474	10.2
0.9475475475	10.3
0.9477477477	10.3
0.948048048	10.3
0.9482482482	10.3
0.9483483483	10.4
0.9485485485	10.4
0.9487487487	10.4
0.949049049	10.4
0.9493493493	10.5
0.9507507508	10.5
0.951951952	10.5
0.9530530531	10.5
0.9542542543	10.5
0.954954955	10.6
0.9566566567	10.6
0.958958959	10.6
0.9602602603	10.6
0.9618618619	10.6
0.9634634635	10.7
0.9654654655	10.7
0.9665665666	10.7
0.9682682683	10.7
0.9702702703	10.7
0.9706706707	10.8
0.9714714715	10.8
0.971971972	10.8
0.9720720721	10.8
0.9726726727	10.8
0.972972973	10.9
0.9731731732	10.9
0.9732732733	10.9
0.9733733734	11
0.9734734735	11
0.9735735736	11.1
0.9736736737	11.1
0.9737737738	11.2
0.9738738739	11.3
0.973973974	11.3
0.9740740741	11.4
0.9741741742	11.5
0.9743743744	11.8
0.9745745746	11.8
0.9746746747	11.9
0.9748748749	11.9
0.974974975	11.9
0.9752752753	11.9
0.9754754755	12
0.9755755756	12
0.9756756757	12.2
0.9757757758	12.2
0.9758758759	12.2
0.975975976	12.3
0.9760760761	12.6
0.9761761762	12.7
0.9762762763	12.7
0.9763763764	12.8
0.9765765766	12.8
0.9766766767	12.8
0.9768768769	12.8
0.9770770771	12.9
0.9772772773	12.9
0.9773773774	12.9
0.9775775776	12.9
0.9778778779	13
0.977977978	13
0.9781781782	13
0.9782782783	13
0.9783783784	13.1
0.9784784785	13.1
0.9785785786	13.1
0.9786786787	13.2
0.9787787788	13.2
0.978978979	13.2
0.9791791792	13.3
0.9792792793	13.3
0.9793793794	13.3
0.9794794795	13.4
0.9795795796	13.4
0.9796796797	13.5
0.9797797798	13.6
0.97997998	13.6
0.9800800801	13.8
0.9801801802	13.8
0.9802802803	14.1
0.9803803804	14.1
0.9804804805	14.2
0.9805805806	14.2
0.9806806807	14.4
0.9807807808	14.4
0.9808808809	14.5
0.980980981	14.7
0.9810810811	14.8
0.9811811812	14.9
0.9812812813	14.9
0.9813813814	15
0.9814814815	15.5
0.9815815816	15.7
0.9816816817	15.7
0.9817817818	15.8
0.9818818819	16
0.981981982	16.1
0.9820820821	16.1
0.9821821822	16.2
0.9822822823	16.2
0.9825825826	16.3
0.9827827828	16.3
0.9828828829	16.4
0.9831831832	16.4
0.9832832833	16.5
0.9834834835	16.5
0.9836836837	16.6
0.9837837838	16.6
0.983983984	16.6
0.9840840841	16.7
0.9841841842	16.8
0.9844844845	16.8
0.9846846847	16.9
0.984984985	16.9
0.9850850851	16.9
0.9852852853	16.9
0.9853853854	17
0.9854854855	17
0.9855855856	17
0.9856856857	17
0.9857857858	17
