Probability	Latency
0.0002003606	13.8
0.0004007213	13.8
0.0005009016	15.5
0.0006010819	15.6
0.0007012623	15.8
0.0012021639	15.8
0.0025045081	15.8
0.0047084753	15.8
0.0070126227	15.9
0.0088158686	15.9
0.0093167702	15.9
0.0101182128	15.9
0.0105189341	15.9
0.0108194751	16
0.0109196554	16
0.0113203767	16.1
0.0115207373	16.1
0.011721098	16.1
0.0118212783	16.2
0.0119214586	16.2
0.012021639	16.2
0.0124223602	16.3
0.0133239832	16.3
0.0137247045	16.4
0.0146263274	16.4
0.0150270487	16.4
0.0152274093	16.4
0.0155279503	16.4
0.015728311	16.5
0.0159286716	16.5
0.0162292126	16.5
0.0165297536	16.5
0.0215387698	16.5
0.0410739331	16.6
0.0830494891	16.6
0.171909437	16.6
0.2977359247	16.6
0.4384892807	16.6
0.5556000801	16.7
0.6316369465	16.7
0.6732117812	16.7
0.6928471248	16.7
0.7017631737	16.7
0.7066720096	16.8
0.7089761571	16.8
0.710178321	16.8
0.7114806652	16.8
0.7131837307	16.8
0.7164896814	16.9
0.721899419	16.9
0.7285113204	16.9
0.7329192547	16.9
0.7380284512	16.9
0.7412342216	17
0.7426367461	17
0.7446403526	17
0.7452414346	17
0.7455419756	17
0.7459426969	17.1
0.7473452214	17.1
0.7503506311	17.1
0.7574634342	17.1
0.7717892206	17.1
0.7893207774	17.2
0.8114606291	17.2
0.832097776	17.2
0.8511320377	17.2
0.8696653977	17.2
0.8834902825	17.3
0.8919054298	17.3
0.8964135444	17.3
0.8979162492	17.3
0.8996193148	17.3
0.9000200361	17.4
0.900320577	17.4
0.9010218393	17.4
0.9017231016	17.4
0.9021238229	17.4
0.9023241835	17.5
0.9025245442	17.5
0.9029252655	17.5
0.9032258065	17.5
0.9033259868	17.6
0.9034261671	17.6
0.9035263474	17.6
0.9036265277	17.6
0.9037267081	17.6
0.9038268884	17.7
0.9041274294	17.7
0.9042276097	17.8
0.90432779	17.8
0.9044279703	17.9
0.904628331	17.9
0.9047285113	18.1
0.9048286916	18.7
0.9050290523	18.8
0.9051292326	19
0.9052294129	19.1
0.9053295933	19.1
0.9054297736	19.1
0.9055299539	19.2
0.9056301342	19.3
0.9058304949	19.3
0.9060308555	19.4
0.9065317572	19.4
0.9084351833	19.5
0.9121418553	19.5
0.9168503306	19.5
0.9219595271	19.5
0.9246643959	19.5
0.9261671008	19.6
0.9269685434	19.6
0.9275696253	19.6
0.927769986	19.6
0.9278701663	19.7
0.9287717892	20
0.9292726908	20.1
0.9299739531	20.1
0.9303746744	20.1
0.9313764777	20.1
0.9320777399	20.1
0.9324784612	20.2
0.9325786416	20.2
0.9328791825	20.2
0.9329793629	20.2
0.9330795432	20.2
0.9332799038	20.3
0.9335804448	20.3
0.9338809858	20.3
0.9339811661	20.3
0.9340813464	20.4
0.9341815267	20.4
0.9342817071	20.5
0.9343818874	20.7
0.9344820677	20.8
0.934582248	20.8
0.9346824284	21
0.9347826087	21
0.934882789	21
0.9349829693	21.1
0.9350831497	21.1
0.93518333	21.1
0.9353836906	21.2
0.935483871	21.2
0.9355840513	21.3
0.9356842316	21.3
0.9357844119	21.3
0.9358845923	21.5
0.9359847726	21.8
0.9360849529	21.9
0.9361851332	22.1
0.9362853136	22.7
0.9363854939	23.3
0.9364856742	23.7
0.9365858545	23.7
0.9366860349	23.8
0.9367862152	24
0.9368863955	24.4
0.9369865758	24.6
0.9370867562	25.9
0.9371869365	26
0.9372871168	26.1
0.9373872971	26.5
0.9374874775	26.5
0.9375876578	26.7
0.9376878381	27.6
0.9377880184	27.8
0.9378881988	27.9
0.9380885594	27.9
0.9381887397	28
0.9382889201	28
0.9384892807	28
0.938589461	28.1
0.9386896414	28.3
0.9387898217	28.5
0.9389901823	28.6
0.939190543	28.7
0.9392907233	28.7
0.9393909036	28.7
0.939491084	28.9
0.9395912643	29
0.9396914446	29.1
0.9397916249	29.1
0.9398918052	29.2
0.9399919856	29.2
0.9400921659	29.7
0.9401923462	30.4
0.9402925265	30.8
0.9403927069	31
0.9404928872	31.1
0.9405930675	31.2
0.9406932478	32.5
0.9407934282	32.5
0.9409937888	32.6
0.9411941495	32.6
0.9415948708	32.6
0.9419955921	32.7
0.9421959527	32.7
0.9427970347	32.7
0.9436986576	32.7
0.9453015428	32.7
0.9461029854	32.8
0.9467040673	32.8
0.9475055099	32.8
0.9485073132	32.8
0.9494089361	32.8
0.9506111	32.9
0.9515127229	32.9
0.9522139852	32.9
0.9531156081	32.9
0.95371669	32.9
0.954317772	33
0.9552193949	33
0.9562211982	33
0.9574233621	33
0.9596273292	33
0.9605289521	33.1
0.9618312963	33.1
0.9632338209	33.1
0.9635343619	33.1
0.9647365257	33.1
0.9656381487	33.2
0.9662392306	33.2
0.9667401322	33.2
0.9671408535	33.2
0.9679422961	33.2
0.9686435584	33.3
0.969445001	33.3
0.9699459026	33.3
0.9704468042	33.3
0.9715487878	33.3
0.9720496894	33.4
0.9726507714	33.4
0.9733520337	33.4
0.9740532959	33.4
0.9746543779	33.4
0.9753556402	33.5
0.9764576237	33.5
0.9769585253	33.5
0.9777599679	33.5
0.9796633941	33.5
0.9804648367	33.6
0.9812662793	33.6
0.9819675416	33.6
0.9824684432	33.6
0.9829693448	33.6
0.9832698858	33.7
0.9835704268	33.7
0.9840713284	33.7
0.984271689	33.7
0.9847725907	33.7
0.985173312	33.8
0.9853736726	33.8
0.9856742136	33.8
0.9860749349	33.8
0.9861751152	33.8
0.9863754759	33.9
0.9865758365	33.9
0.9866760168	33.9
0.9867761972	33.9
0.9869765578	33.9
0.9872770988	34
0.9875776398	34
0.9880785414	34
0.9881787217	34
0.988579443	34
0.9887798036	34.1
0.988879984	34.1
0.9890803446	34.1
0.9891805249	34.2
0.9893808856	34.3
0.9894810659	34.4
0.9895812462	34.7
0.9896814266	34.9
0.9897816069	35.4
0.9898817872	35.6
0.9899819675	35.6
0.9900821479	35.6
0.9902825085	35.7
0.9903826888	35.7
0.9904828692	35.7
0.9905830495	35.8
0.9906832298	35.9
0.9907834101	35.9
0.9908835905	35.9
0.9910839511	36
0.9911841314	36
0.9912843118	36.1
0.9913844921	36.1
0.9916850331	36.2
0.9917852134	36.2
0.991985574	36.3
0.9920857544	36.3
0.9921859347	36.6
0.992286115	37.9
0.9923862953	37.9
0.9924864757	38.1
0.992586656	38.6
0.9926868363	40
0.9927870166	40.1
0.992887197	40.2
0.9929873773	40.6
0.9930875576	42.7
0.9931877379	43.5
0.9932879183	43.6
0.9933880986	44.2
0.9934882789	44.3
0.9935884592	44.4
0.9936886396	44.7
0.9937888199	45.3
0.9938890002	45.3
0.9939891805	46.4
0.9940893608	46.7
0.9941895412	47.6
0.9942897215	50
0.9943899018	50
0.9944900821	50.1
0.9945902625	50.2
0.9946904428	53.6
0.9947906231	54.3
0.9948908034	54.7
0.9949909838	58.5
0.9950911641	61.5
0.9951913444	61.6
0.9952915247	61.9
0.9953917051	62.9
0.9954918854	63
0.9955920657	64.2
0.995692246	66
0.9957924264	66.1
0.9958926067	67.2
0.995992787	69.8
0.9960929673	71.1
0.9961931477	74.3
0.996293328	75.4
0.9963935083	76.1
0.9964936886	78.7
0.996593869	80.8
0.9966940493	81
0.9967942296	83.7
0.9968944099	85.1
0.9969945903	86.6
0.9970947706	87.5
0.9971949509	88.3
0.9972951312	90.8
0.9973953116	91.3
0.9974954919	91.7
0.9975956722	92.7
0.9976958525	93.8
0.9977960329	94.2
0.9978962132	96.7
0.9979963935	98.5
0.9980965738	103.6
0.9981967542	104.1
0.9982969345	106.3
0.9983971148	108.6
0.9984972951	109.5
0.9985974755	111.1
0.9986976558	112.1
0.9988980164	116.1
0.9989981968	116.1
0.9990983771	116.2
0.9991985574	116.3
0.9992987377	117.1
0.9993989181	119.2
0.9994990984	128.1
0.9995992787	129.1
0.999699459	129.7
0.9997996394	130.2
0.9998998197	130.4
1	130.8

