Probability	Latency
0.0001000801	6.4
0.0003002402	6.4
0.0006004804	6.4
0.0022017614	6.4
0.0067053643	6.5
0.0139111289	6.5
0.0260208167	6.5
0.0396317054	6.5
0.0561449159	6.5
0.0738590873	6.6
0.0935748599	6.6
0.1194955965	6.6
0.1533226581	6.6
0.196857486	6.6
0.2534027222	6.7
0.3169535629	6.7
0.389111289	6.7
0.4623698959	6.7
0.5435348279	6.7
0.6254003203	6.8
0.6959567654	6.8
0.7575060048	6.8
0.8110488391	6.8
0.8573859087	6.8
0.8894115292	6.9
0.9110288231	6.9
0.9254403523	6.9
0.9363490793	6.9
0.9440552442	6.9
0.9489591673	7
0.9528622898	7
0.9552642114	7
0.9566653323	7
0.9574659728	7
0.9579663731	7.1
0.9583666934	7.1
0.9587670136	7.1
0.9592674139	7.1
0.9601681345	7.1
0.9602682146	7.2
0.9610688551	7.2
0.9619695757	7.2
0.962469976	7.2
0.9633706966	7.2
0.9641713371	7.3
0.9657726181	7.3
0.9675740592	7.3
0.9693755004	7.3
0.9709767814	7.3
0.971877502	7.4
0.9732786229	7.4
0.9740792634	7.4
0.9748799039	7.4
0.9750800641	7.4
0.9754803843	7.5
0.9755804644	7.5
0.9758807046	7.5
0.9762810248	7.5
0.976581265	7.5
0.9767814251	7.6
0.9768815052	7.6
0.9770816653	7.6
0.9771817454	7.6
0.9772818255	7.7
0.9773819055	7.7
0.9774819856	7.9
0.9775820657	7.9
0.9776821457	8
0.9777822258	8
0.9778823058	8.1
0.9779823859	8.1
0.978082466	8.1
0.9782826261	8.2
0.9783827062	8.2
0.9784827862	8.2
0.9786829464	8.3
0.9787830264	8.3
0.9789831865	8.4
0.9791833467	8.8
0.9792834267	8.9
0.9793835068	8.9
0.9794835869	9
0.9795836669	9.1
0.979683747	9.1
0.9797838271	9.3
0.9798839071	9.4
0.9800840673	9.5
0.9801841473	9.6
0.9802842274	9.7
0.9803843074	9.7
0.9804843875	9.8
0.9805844676	9.9
0.9806845476	9.9
0.9807846277	10.1
0.9808847078	10.2
0.9809847878	10.2
0.9810848679	10.4
0.981184948	10.4
0.981285028	10.5
0.9813851081	10.6
0.9814851882	10.6
0.9815852682	10.8
0.9816853483	10.8
0.9818855084	10.9
0.9819855885	11.1
0.9820856685	11.1
0.9821857486	11.2
0.9823859087	11.3
0.9824859888	11.4
0.9825860689	11.5
0.9826861489	11.5
0.982786229	11.5
0.982886309	11.5
0.9830864692	11.6
0.9831865492	11.7
0.9832866293	11.9
0.9833867094	11.9
0.9834867894	11.9
0.9835868695	12.2
0.9836869496	12.3
0.9837870296	12.4
0.9838871097	12.6
0.9839871898	12.6
0.9840872698	12.6
0.9841873499	12.7
0.9842874299	12.7
0.98438751	12.9
0.9844875901	12.9
0.9845876701	13
0.9846877502	13.1
0.9847878303	13.1
0.9848879103	13.2
0.9849879904	13.2
0.9850880705	13.3
0.9851881505	13.3
0.9852882306	13.3
0.9854883907	13.5
0.9856885508	13.5
0.9857886309	13.5
0.985888711	13.6
0.985988791	13.6
0.9860888711	13.8
0.9861889512	13.8
0.9862890312	13.9
0.9863891113	13.9
0.9864891914	14
0.9865892714	14.1
0.9866893515	14.1
0.9867894315	14.1
0.9868895116	14.1
0.9869895917	14.3
0.9870896717	14.3
0.9871897518	14.3
0.9872898319	14.6
0.9873899119	14.7
0.987489992	14.8
0.9875900721	14.8
0.9877902322	14.9
0.9878903122	15
0.9879903923	15
0.9880904724	15.1
0.9881905524	15.1
0.9882906325	15.1
0.9883907126	15.2
0.9884907926	15.2
0.9888911129	15.3
0.989091273	15.3
0.9892914331	15.3
0.9896917534	15.3
0.9900920737	15.3
0.9903923139	15.4
0.990692554	15.4
0.9909927942	15.4
0.9910928743	15.4
0.9912930344	15.5
0.9913931145	15.5
0.9914931946	15.5
0.9915932746	15.5
0.9920936749	15.6
0.992193755	15.6
0.9922938351	15.6
0.9926941553	15.6
0.9927942354	15.6
0.9929943955	15.7
0.9931945556	15.7
0.9932946357	15.7
0.9934947958	15.7
0.993694956	15.8
0.9939951962	15.8
0.9941953563	15.8
0.9942954363	15.8
0.9943955164	15.8
0.9944955965	16
0.9945956765	16.3
0.9946957566	16.7
0.9947958367	16.7
0.9948959167	19.7
0.9949959968	21.4
0.9950960769	21.9
0.9951961569	24.3
0.995296237	24.3
0.9953963171	25.3
0.9954963971	25.7
0.9955964772	27.6
0.9956965572	27.8
0.9957966373	28.3
0.9958967174	30.5
0.9959967974	32
0.9960968775	32.5
0.9961969576	32.8
0.9962970376	33.9
0.9963971177	34.1
0.9964971978	36.3
0.9965972778	36.6
0.9966973579	38.3
0.996797438	38.6
0.996897518	39.5
0.9969975981	45
0.9970976781	57.1
0.9971977582	59.4
0.9972978383	61
0.9973979183	62.7
0.9974979984	67.6
0.9975980785	67.8
0.9976981585	68.1
0.9977982386	69.2
0.9978983187	70.5
0.9979983987	71.8
0.9980984788	72.6
0.9981985588	73.9
0.9982986389	75.5
0.998398719	75.6
0.998498799	75.9
0.9985988791	76.6
0.9986989592	77.1
0.9987990392	78.6
0.9988991193	79.6
0.9989991994	82.8
0.9990992794	84
0.9991993595	86.9
0.9992994396	89.3
0.9993995196	89.5
0.9994995997	91.1
0.9995996797	92.4
0.9996997598	93.1
0.9997998399	93.4
0.9998999199	100.5
1	101.8

