Probability	Latency
0.0001000801	8.2
0.0002001601	8.8
0.0003002402	8.8
0.0004003203	8.8
0.0005004003	8.9
0.0006004804	8.9
0.0007005604	9
0.0008006405	9
0.0011008807	9.1
0.0012009608	9.1
0.001501201	9.1
0.001601281	9.1
0.0017013611	9.2
0.0018014412	9.2
0.0019015212	9.2
0.0020016013	9.3
0.0021016813	9.3
0.0023018415	9.4
0.0024019215	9.4
0.0025020016	9.4
0.0028022418	9.4
0.0030024019	9.5
0.003102482	9.5
0.003202562	9.5
0.0033026421	9.6
0.0034027222	9.6
0.0035028022	9.6
0.0036028823	9.7
0.0037029624	9.7
0.0039031225	9.8
0.0040032026	9.8
0.0041032826	9.9
0.0042033627	9.9
0.0045036029	10
0.004703763	10
0.0048038431	10
0.0049039231	10.1
0.0050040032	10.1
0.0051040833	10.2
0.0055044035	10.2
0.0056044836	10.3
0.0058046437	10.3
0.0059047238	10.3
0.0060048038	10.4
0.0061048839	10.5
0.006305044	10.5
0.0064051241	10.5
0.0065052042	10.5
0.0066052842	10.6
0.0067053643	10.6
0.0068054444	10.6
0.0069055244	10.7
0.0070056045	10.7
0.0071056845	10.8
0.0072057646	10.8
0.0074059247	10.8
0.0075060048	10.8
0.0077061649	10.9
0.007806245	10.9
0.0079063251	10.9
0.0081064852	11
0.0082065653	11
0.0086068855	11.1
0.0087069656	11.1
0.0089071257	11.1
0.0091072858	11.2
0.0092073659	11.2
0.009307446	11.2
0.009407526	11.3
0.0096076861	11.3
0.0097077662	11.3
0.0098078463	11.5
0.0100080064	11.5
0.0101080865	11.5
0.0103082466	11.5
0.0105084067	11.6
0.0107085669	11.6
0.0108086469	11.6
0.011008807	11.6
0.0113090472	11.7
0.0114091273	11.7
0.0115092074	11.7
0.0117093675	11.7
0.0120096077	11.8
0.0122097678	11.8
0.0123098479	11.8
0.012510008	11.9
0.0126100881	11.9
0.0128102482	11.9
0.0130104083	12
0.0133106485	12
0.0134107286	12
0.0135108086	12
0.0136108887	12.1
0.0137109688	12.1
0.0139111289	12.1
0.0142113691	12.2
0.0145116093	12.2
0.0149119295	12.2
0.0164131305	12.2
0.0184147318	12.3
0.0207165733	12.3
0.0243194556	12.3
0.0278222578	12.3
0.0325260208	12.3
0.0368294636	12.4
0.0410328263	12.4
0.0444355484	12.4
0.0474379504	12.4
0.0496397118	12.4
0.0527421938	12.5
0.054743795	12.5
0.056244996	12.5
0.0579463571	12.5
0.0592473979	12.5
0.0607485989	12.6
0.0620496397	12.6
0.0628502802	12.6
0.0639511609	12.6
0.0649519616	12.6
0.0653522818	12.7
0.065652522	12.7
0.0658526821	12.7
0.0660528423	12.7
0.0665532426	12.7
0.0673538831	12.8
0.070356285	12.8
0.0762610088	12.8
0.0882706165	12.8
0.1053843074	12.8
0.1372097678	12.9
0.1751401121	12.9
0.2180744596	12.9
0.2683146517	12.9
0.3180544436	12.9
0.3681945556	13
0.4128302642	13
0.45316253	13
0.4883907126	13
0.5150120096	13
0.537530024	13.1
0.5566453163	13.1
0.5746597278	13.1
0.5904723779	13.1
0.6037830264	13.1
0.6137910328	13.2
0.6232986389	13.2
0.6308046437	13.2
0.6362089672	13.2
0.6403122498	13.2
0.6432145717	13.3
0.6457165733	13.3
0.6477181745	13.3
0.6491192954	13.3
0.6501200961	13.3
0.6505204163	13.4
0.6507205765	13.4
0.6508206565	13.4
0.6511208967	13.4
0.651521217	13.4
0.651621297	13.5
0.6517213771	13.5
0.6519215372	13.5
0.6522217774	13.6
0.6526220977	13.6
0.6530224179	13.6
0.6532225781	13.6
0.6534227382	13.6
0.6536228983	13.7
0.6538230584	13.7
0.6540232186	13.7
0.6542233787	13.7
0.6543234588	13.8
0.6545236189	13.8
0.6548238591	13.8
0.6554243395	13.8
0.6561248999	13.8
0.6566253002	13.9
0.6581265012	13.9
0.6587269816	13.9
0.659427542	13.9
0.6599279424	13.9
0.6606285028	14
0.6612289832	14
0.6614291433	14
0.6617293835	14
0.6619295436	14
0.662429944	14.1
0.6626301041	14.1
0.6627301841	14.1
0.6631305044	14.1
0.6635308247	14.1
0.664131305	14.2
0.6646317054	14.2
0.6655324259	14.2
0.6662329864	14.2
0.6675340272	14.2
0.6686349079	14.3
0.6694355484	14.3
0.6701361089	14.3
0.6707365893	14.3
0.6717373899	14.3
0.6722377902	14.4
0.6725380304	14.4
0.6729383507	14.4
0.6733386709	14.4
0.6742393915	14.4
0.6746397118	14.5
0.674939952	14.5
0.6753402722	14.5
0.6754403523	14.5
0.6757405925	14.5
0.6759407526	14.6
0.6763410729	14.6
0.6766413131	14.6
0.6769415532	14.6
0.6770416333	14.7
0.6771417134	14.7
0.6774419536	14.7
0.6776421137	14.7
0.6778422738	14.7
0.6779423539	14.9
0.6780424339	14.9
0.678142514	15
0.6783426741	15.1
0.6784427542	15.1
0.6786429143	15.1
0.679643715	15.1
0.6802441954	15.1
0.6808446757	15.2
0.6819455564	15.2
0.6829463571	15.2
0.6837469976	15.2
0.684447558	15.2
0.6852481986	15.3
0.6862489992	15.3
0.6868494796	15.3
0.6878502802	15.3
0.6881505204	15.3
0.689051241	15.4
0.6893514812	15.4
0.6896517214	15.4
0.6902522018	15.4
0.690652522	15.4
0.6908526821	15.5
0.6915532426	15.5
0.6918534828	15.5
0.692253803	15.5
0.6923538831	15.5
0.6924539632	15.6
0.6926541233	15.6
0.6929543635	15.6
0.6930544436	15.7
0.6931545236	15.7
0.6932546037	15.7
0.6933546837	15.7
0.6936549239	15.8
0.6939551641	15.8
0.6942554043	15.8
0.6956565252	15.8
0.6978582866	15.9
0.7034627702	15.9
0.7120696557	15.9
0.7216773419	15.9
0.7319855885	15.9
0.7442954363	16
0.756204964	16
0.7683146517	16
0.7805244195	16
0.7904323459	16
0.8005404323	16.1
0.8091473179	16.1
0.815652522	16.1
0.8219575661	16.1
0.8271617294	16.1
0.8324659728	16.2
0.8356685348	16.2
0.8380704564	16.2
0.8404723779	16.2
0.8426741393	16.2
0.8444755805	16.3
0.8459767814	16.3
0.8471777422	16.3
0.8479783827	16.3
0.848378703	16.3
0.8488791033	16.4
0.8489791833	16.4
0.8492794235	16.4
0.8493795036	16.4
0.8495796637	16.4
0.8497798239	16.5
0.8498799039	16.5
0.849979984	16.6
0.8501801441	16.6
0.8502802242	16.6
0.8505804644	16.6
0.8508807046	16.6
0.8509807846	16.7
0.8510808647	16.7
0.8511809448	16.7
0.8512810248	16.8
0.8514811849	16.8
0.8518815052	16.8
0.8520816653	16.8
0.8524819856	16.9
0.8526821457	16.9
0.8527822258	16.9
0.8528823058	16.9
0.8529823859	17
0.8532826261	17
0.8533827062	17
0.8535828663	17
0.8537830264	17.1
0.8539831865	17.1
0.8542834267	17.2
0.8544835869	17.2
0.854683747	17.3
