Frequency	Latency
1	8.2
1	8.8
1	8.8
1	8.8
1	8.9
1	8.9
1	9.0
1	9.0
3	9.1
1	9.1
3	9.1
1	9.1
1	9.2
1	9.2
1	9.2
1	9.3
1	9.3
2	9.4
1	9.4
1	9.4
3	9.4
2	9.5
1	9.5
1	9.5
1	9.6
1	9.6
1	9.6
1	9.7
1	9.7
2	9.8
1	9.8
1	9.9
1	9.9
3	10.0
2	10.0
1	10.0
1	10.1
1	10.1
1	10.2
4	10.2
1	10.3
2	10.3
1	10.3
1	10.4
1	10.5
2	10.5
1	10.5
1	10.5
1	10.6
1	10.6
1	10.6
1	10.7
1	10.7
1	10.8
1	10.8
2	10.8
1	10.8
2	10.9
1	10.9
1	10.9
2	11.0
1	11.0
4	11.1
1	11.1
2	11.1
2	11.2
1	11.2
1	11.2
1	11.3
2	11.3
1	11.3
1	11.5
2	11.5
1	11.5
2	11.5
2	11.6
2	11.6
1	11.6
2	11.6
3	11.7
1	11.7
1	11.7
2	11.7
3	11.8
2	11.8
1	11.8
2	11.9
1	11.9
2	11.9
2	12.0
3	12.0
1	12.0
1	12.0
1	12.1
1	12.1
2	12.1
3	12.2
3	12.2
4	12.2
15	12.2
20	12.3
23	12.3
36	12.3
35	12.3
47	12.3
43	12.4
42	12.4
34	12.4
30	12.4
22	12.4
31	12.5
20	12.5
15	12.5
17	12.5
13	12.5
15	12.6
13	12.6
8	12.6
11	12.6
10	12.6
4	12.7
3	12.7
2	12.7
2	12.7
5	12.7
8	12.8
30	12.8
59	12.8
120	12.8
171	12.8
318	12.9
379	12.9
429	12.9
502	12.9
497	12.9
501	13.0
446	13.0
403	13.0
352	13.0
266	13.0
225	13.1
191	13.1
180	13.1
158	13.1
133	13.1
100	13.2
95	13.2
75	13.2
54	13.2
41	13.2
29	13.3
25	13.3
20	13.3
14	13.3
10	13.3
4	13.4
2	13.4
1	13.4
3	13.4
4	13.4
1	13.5
1	13.5
2	13.5
3	13.6
4	13.6
4	13.6
2	13.6
2	13.6
2	13.7
2	13.7
2	13.7
2	13.7
1	13.8
2	13.8
3	13.8
6	13.8
7	13.8
5	13.9
15	13.9
6	13.9
7	13.9
5	13.9
7	14.0
6	14.0
2	14.0
3	14.0
2	14.0
5	14.1
2	14.1
1	14.1
4	14.1
4	14.1
6	14.2
5	14.2
