Probability	Latency
0.0003002101	1
0.0335234664	1
0.4579205444	1
0.8706094266	1
0.9771840288	1.1
0.9821875313	1.1
0.9837886521	1.1
0.9842890023	1.1
0.9848894226	1.1
0.9864905434	1.2
0.9875913139	1.2
0.9882918043	1.2
0.9900930651	1.2
0.9908936255	1.3
0.9913939758	1.3
0.9925948164	1.3
0.9939957971	1.3
0.9944961473	1.4
0.9953967777	1.4
0.9970979686	1.4
0.9981987391	1.4
0.9985990193	1.5
0.9986990894	15.5
0.9988992295	15.6
0.9990993696	15.6
0.9991994396	15.6
0.9994996498	15.6
0.9996997899	15.7
0.9997998599	15.7
0.99989993	17.1
1	17.2
